"BTIFile","Filename","Line"
"D:\AI_upscaling\AoMEE\extracted\textures\building g settlementage1.bti","building g settlementage1","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g settlementage2.bti","building g settlementage2","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g settlementage3.bti","building g settlementage3","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g shared05 2 map.bti","building g shared05 2 map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g shrine.bti","building g shrine","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g temple statues map.bti","building g temple statues map","alpha=0 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g temple.bti","building g temple","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g templeage1.bti","building g templeage1","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g templeage2.bti","building g templeage2","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g titan gate door map.bti","building g titan gate door map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g titan gate map.bti","building g titan gate map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g titan gate rocks.bti","building g titan gate rocks","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g towers.bti","building g towers","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g wallsage1.bti","building g wallsage1","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g wallsage2.bti","building g wallsage2","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g wallsage3.bti","building g wallsage3","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g wonder destructed.bti","building g wonder destructed","alpha=0 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g wonder.bti","building g wonder","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building g zues wonder01.bti","building g zues wonder01","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n hillfort.bti","building n hillfort","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n loki wonder02.bti","building n loki wonder02","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n odin wonder01.bti","building n odin wonder01","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage1.bti","building n settlementage1","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage2.bti","building n settlementage2","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage3.bti","building n settlementage3","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage4.bti","building n settlementage4","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n shared01 1 map.bti","building n shared01 1 map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n shared01 2 map.bti","building n shared01 2 map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n shared01 3 map.bti","building n shared01 3 map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n shared02 2 map.bti","building n shared02 2 map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n shared03 2 map.bti","building n shared03 2 map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n shared04 2 map.bti","building n shared04 2 map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n shared06 2 map.bti","building n shared06 2 map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n shrine.bti","building n shrine","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n temple.bti","building n temple","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n templeage1.bti","building n templeage1","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n templeage2.bti","building n templeage2","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n templeage3.bti","building n templeage3","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n thorarmory.bti","building n thorarmory","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n thorarmory1.bti","building n thorarmory1","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n titan gate map.bti","building n titan gate map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n titan gate rocks.bti","building n titan gate rocks","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n tower.bti","building n tower","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n wallage4.bti","building n wallage4","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building n wonder.bti","building n wonder","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x mirror tower.bti","building x mirror tower","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x palace age2.bti","building x palace age2","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x palace age3.bti","building x palace age3","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x roof age0.bti","building x roof age0","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x roof age1.bti","building x roof age1","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x sky temple roof.bti","building x sky temple roof","alpha=0 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x sky temple.bti","building x sky temple","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x temple age0.bti","building x temple age0","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x titangate.bti","building x titangate","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x tower watch2.bti","building x tower watch2","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x tower watch3.bti","building x tower watch3","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x tower watch4.bti","building x tower watch4","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x wall age2.bti","building x wall age2","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x wall bronze.bti","building x wall bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x wall iron.bti","building x wall iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x wall oreichalkos.bti","building x wall oreichalkos","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building x wall stone.bti","building x wall stone","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\building_e_monumentbase_map.bti","building_e_monumentbase_map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\butterfly.bti","butterfly","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract bronze.bti","cavalry c cataphract bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract copper.bti","cavalry c cataphract copper","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract head bronze.bti","cavalry c cataphract head bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract head copper.bti","cavalry c cataphract head copper","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract head iron.bti","cavalry c cataphract head iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract head standard.bti","cavalry c cataphract head standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract horse bronze.bti","cavalry c cataphract horse bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract horse copper.bti","cavalry c cataphract horse copper","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract horse iron.bti","cavalry c cataphract horse iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract horse standard.bti","cavalry c cataphract horse standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract iron.bti","cavalry c cataphract iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c cataphract standard.bti","cavalry c cataphract standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c chariot bronze.bti","cavalry c chariot bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c chariot copper.bti","cavalry c chariot copper","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c chariot horse bronze.bti","cavalry c chariot horse bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c chariot horse iron.bti","cavalry c chariot horse iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c chariot horse standard.bti","cavalry c chariot horse standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c chariot iron.bti","cavalry c chariot iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c chariot standard.bti","cavalry c chariot standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c charioteer bronze.bti","cavalry c charioteer bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c charioteer iron.bti","cavalry c charioteer iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c charioteer standard.bti","cavalry c charioteer standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout bronze.bti","cavalry c scout bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout copper.bti","cavalry c scout copper","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout head bronze.bti","cavalry c scout head bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout head copper.bti","cavalry c scout head copper","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout head iron.bti","cavalry c scout head iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout head standard.bti","cavalry c scout head standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout horse bronze.bti","cavalry c scout horse bronze","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout horse copper.bti","cavalry c scout horse copper","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout horse iron.bti","cavalry c scout horse iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout horse standard.bti","cavalry c scout horse standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout iron.bti","cavalry c scout iron","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry c scout standard.bti","cavalry c scout standard","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e camelry bronze.bti","cavalry e camelry bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e camelry camel bronze.bti","cavalry e camelry camel bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e camelry camel copper.bti","cavalry e camelry camel copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e camelry camel iron.bti","cavalry e camelry camel iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e camelry camel standard.bti","cavalry e camelry camel standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e camelry copper.bti","cavalry e camelry copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e camelry iron.bti","cavalry e camelry iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e camelry map.bti","cavalry e camelry map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e camelry standard.bti","cavalry e camelry standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e chariot archer bronze.bti","cavalry e chariot archer bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e chariot archer copper.bti","cavalry e chariot archer copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e chariot archer iron.bti","cavalry e chariot archer iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e chariot horse map.bti","cavalry e chariot horse map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e mercenary horse standard.bti","cavalry e mercenary horse standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant basket bronze.bti","cavalry e war elephant basket bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant basket copper.bti","cavalry e war elephant basket copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant basket iron.bti","cavalry e war elephant basket iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant basket standard.bti","cavalry e war elephant basket standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant bronze.bti","cavalry e war elephant bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant copper.bti","cavalry e war elephant copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant iron.bti","cavalry e war elephant iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant rider bronze.bti","cavalry e war elephant rider bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant rider copper.bti","cavalry e war elephant rider copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant rider iron.bti","cavalry e war elephant rider iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant rider standard.bti","cavalry e war elephant rider standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g cataphract head iron.bti","cavalry g cataphract head iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g cataphract horse iron.bti","cavalry g cataphract horse iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g cataphract iron.bti","cavalry g cataphract iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hetairoi bronze.bti","cavalry g hetairoi bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hetairoi copper.bti","cavalry g hetairoi copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hetairoi head iron.bti","cavalry g hetairoi head iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hetairoi horse iron.bti","cavalry g hetairoi horse iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hetairoi iron.bti","cavalry g hetairoi iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon bronze.bti","cavalry g hippikon bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon copper.bti","cavalry g hippikon copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon head bronze.bti","cavalry g hippikon head bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon head copper.bti","cavalry g hippikon head copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon head iron.bti","cavalry g hippikon head iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon horse bronze.bti","cavalry g hippikon horse bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon horse copper.bti","cavalry g hippikon horse copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon horse iron.bti","cavalry g hippikon horse iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon horse standard.bti","cavalry g hippikon horse standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon iron.bti","cavalry g hippikon iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon standard.bti","cavalry g hippikon standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g prodromos bronze.bti","cavalry g prodromos bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g prodromos copper.bti","cavalry g prodromos copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g prodromos horse bronze.bti","cavalry g prodromos horse bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g prodromos horse copper.bti","cavalry g prodromos horse copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g prodromos horse iron.bti","cavalry g prodromos horse iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g prodromos horse standard.bti","cavalry g prodromos horse standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g prodromos iron.bti","cavalry g prodromos iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g prodromos standard.bti","cavalry g prodromos standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry g scout horse.bti","cavalry g scout horse","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n jarl bronze.bti","cavalry n jarl bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n jarl copper.bti","cavalry n jarl copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n jarl horse bronze.bti","cavalry n jarl horse bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n jarl horse copper.bti","cavalry n jarl horse copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n jarl horse iron.bti","cavalry n jarl horse iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n jarl horse standard.bti","cavalry n jarl horse standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n jarl iron.bti","cavalry n jarl iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n jarl standard.bti","cavalry n jarl standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry bronze.bti","cavalry n raiding cavalry bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry copper.bti","cavalry n raiding cavalry copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry horse bronze.bti","cavalry n raiding cavalry horse bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry horse copper.bti","cavalry n raiding cavalry horse copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry horse iron.bti","cavalry n raiding cavalry horse iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry horse standard.bti","cavalry n raiding cavalry horse standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry iron.bti","cavalry n raiding cavalry iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry standard.bti","cavalry n raiding cavalry standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin bronze.bti","cavalry x javelin bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin copper.bti","cavalry x javelin copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin hero.bti","cavalry x javelin hero","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin horse bronze.bti","cavalry x javelin horse bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin horse copper.bti","cavalry x javelin horse copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin horse hero.bti","cavalry x javelin horse hero","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin horse iron.bti","cavalry x javelin horse iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin horse standard.bti","cavalry x javelin horse standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin iron.bti","cavalry x javelin iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin standard.bti","cavalry x javelin standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer bronze.bti","cavalry x lancer bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer cape iron.bti","cavalry x lancer cape iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer copper.bti","cavalry x lancer copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer horse bronze.bti","cavalry x lancer horse bronze","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer horse copper.bti","cavalry x lancer horse copper","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer horse hero.bti","cavalry x lancer horse hero","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer horse iron.bti","cavalry x lancer horse iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer horse standard.bti","cavalry x lancer horse standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer iron.bti","cavalry x lancer iron","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cavalry x lancer standard.bti","cavalry x lancer standard","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cine a arkantos map.bti","cine a arkantos map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cine a arkantosman map.bti","cine a arkantosman map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cine a brokk map.bti","cine a brokk map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cine a eitri map.bti","cine a eitri map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cine a jarl helmet map.bti","cine a jarl helmet map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cine a jarl horse map.bti","cine a jarl horse map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cine a jarl map.bti","cine a jarl map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cine a kemsyt head bag.bti","cine a kemsyt head bag","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cine a skult map.bti","cine a skult map","alpha=1 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cine c danzhu.bti","cine c danzhu","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cine c emperor.bti","cine c emperor","alpha=4 noalphatest fmt=BC3"
"D:\AI_upscaling\AoMEE\extracted\textures\cine c jiaolong.bti","cine c jiaolong","alpha=4 noalphatest fmt=BC3"
