"RelativePath","Filename","Category","Width","Height","BTI_AlphaBits","BTI_Format","TGA_AlphaType","TGA_AlphaValues","OpaqueCoveragePct","CoverageGroup"
"textures\cavalry c scout head bronze.tga","cavalry c scout head bronze.tga",,"32","32","4","BC3",,"31",,
"textures\cavalry c scout head copper.tga","cavalry c scout head copper.tga",,"32","32","4","BC3",,"31",,
"textures\cavalry c scout head iron.tga","cavalry c scout head iron.tga",,"32","32","4","BC3",,"31",,
"textures\cavalry c scout head standard.tga","cavalry c scout head standard.tga",,"32","32","4","BC3",,"31",,
"textures\cavalry c scout horse bronze.tga","cavalry c scout horse bronze.tga",,"128","128","4","BC3",,"109",,
"textures\cavalry c scout horse copper.tga","cavalry c scout horse copper.tga",,"128","128","4","BC3",,"109",,
"textures\cavalry c scout horse iron.tga","cavalry c scout horse iron.tga",,"128","128","4","BC3",,"109",,
"textures\cavalry c scout horse standard.tga","cavalry c scout horse standard.tga",,"128","128","4","BC3",,"120",,
"textures\cavalry c scout iron.tga","cavalry c scout iron.tga",,"64","64","4","BC3",,"95",,
"textures\cavalry c scout standard.tga","cavalry c scout standard.tga",,"64","64","4","BC3",,"106",,
"textures\cavalry e camelry bronze.tga","cavalry e camelry bronze.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry e camelry camel bronze.tga","cavalry e camelry camel bronze.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry e camelry camel copper.tga","cavalry e camelry camel copper.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry e camelry camel iron.tga","cavalry e camelry camel iron.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry e camelry camel standard.tga","cavalry e camelry camel standard.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry e camelry copper.tga","cavalry e camelry copper.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry e camelry iron.tga","cavalry e camelry iron.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry e camelry map.tga","cavalry e camelry map.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry e camelry standard.tga","cavalry e camelry standard.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry e chariot archer bronze.tga","cavalry e chariot archer bronze.tga",,"256","256","1","BC3",,"3",,
"textures\cavalry e chariot archer copper.tga","cavalry e chariot archer copper.tga",,"256","256","1","BC3",,"3",,
"textures\cavalry e chariot archer iron.tga","cavalry e chariot archer iron.tga",,"256","256","1","BC3",,"3",,
"textures\cavalry e chariot horse map.tga","cavalry e chariot horse map.tga",,"128","128","1","BC3",,"2",,
"textures\cavalry e mercenary horse standard.tga","cavalry e mercenary horse standard.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry e war elephant basket bronze.tga","cavalry e war elephant basket bronze.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry e war elephant basket copper.tga","cavalry e war elephant basket copper.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry e war elephant basket iron.tga","cavalry e war elephant basket iron.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry e war elephant basket standard.tga","cavalry e war elephant basket standard.tga",,"64","64","1","BC3",,"2",,
"textures\cavalry e war elephant bronze.tga","cavalry e war elephant bronze.tga",,"256","128","1","BC3",,"3",,
"textures\cavalry e war elephant copper.tga","cavalry e war elephant copper.tga",,"256","128","1","BC3",,"3",,
"textures\cavalry e war elephant iron.tga","cavalry e war elephant iron.tga",,"256","128","1","BC3",,"3",,
"textures\cavalry e war elephant rider bronze.tga","cavalry e war elephant rider bronze.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry e war elephant rider copper.tga","cavalry e war elephant rider copper.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry e war elephant rider iron.tga","cavalry e war elephant rider iron.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry e war elephant rider standard.tga","cavalry e war elephant rider standard.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry g cataphract head iron.tga","cavalry g cataphract head iron.tga",,"32","32","1","BC3",,"2",,
"textures\cavalry g cataphract horse iron.tga","cavalry g cataphract horse iron.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry g cataphract iron.tga","cavalry g cataphract iron.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry g hetairoi bronze.tga","cavalry g hetairoi bronze.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry g hetairoi copper.tga","cavalry g hetairoi copper.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry g hetairoi head iron.tga","cavalry g hetairoi head iron.tga",,"32","32","1","BC3",,"1",,
"textures\cavalry g hetairoi horse iron.tga","cavalry g hetairoi horse iron.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry g hetairoi iron.tga","cavalry g hetairoi iron.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry g hippikon bronze.tga","cavalry g hippikon bronze.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry g hippikon copper.tga","cavalry g hippikon copper.tga",,"64","64","1","BC3",,"2",,
"textures\cavalry g hippikon head bronze.tga","cavalry g hippikon head bronze.tga",,"32","32","1","BC3",,"2",,
"textures\cavalry g hippikon head copper.tga","cavalry g hippikon head copper.tga",,"32","32","1","BC3",,"2",,
"textures\cavalry g hippikon head iron.tga","cavalry g hippikon head iron.tga",,"32","32","1","BC3",,"2",,
"textures\cavalry g hippikon horse bronze.tga","cavalry g hippikon horse bronze.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry g hippikon horse copper.tga","cavalry g hippikon horse copper.tga",,"128","128","1","BC3",,"2",,
"textures\cavalry g hippikon horse iron.tga","cavalry g hippikon horse iron.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry g hippikon horse standard.tga","cavalry g hippikon horse standard.tga",,"128","128","1","BC3",,"2",,
"textures\cavalry g hippikon iron.tga","cavalry g hippikon iron.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry g hippikon standard.tga","cavalry g hippikon standard.tga",,"64","64","1","BC3",,"2",,
"textures\cavalry g prodromos bronze.tga","cavalry g prodromos bronze.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry g prodromos copper.tga","cavalry g prodromos copper.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry g prodromos horse bronze.tga","cavalry g prodromos horse bronze.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry g prodromos horse copper.tga","cavalry g prodromos horse copper.tga",,"128","128","1","BC3",,"2",,
"textures\cavalry g prodromos horse iron.tga","cavalry g prodromos horse iron.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry g prodromos horse standard.tga","cavalry g prodromos horse standard.tga",,"128","128","1","BC3",,"2",,
"textures\cavalry g prodromos iron.tga","cavalry g prodromos iron.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry g prodromos standard.tga","cavalry g prodromos standard.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry g scout horse.tga","cavalry g scout horse.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry n jarl bronze.tga","cavalry n jarl bronze.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry n jarl copper.tga","cavalry n jarl copper.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry n jarl horse bronze.tga","cavalry n jarl horse bronze.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry n jarl horse copper.tga","cavalry n jarl horse copper.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry n jarl horse iron.tga","cavalry n jarl horse iron.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry n jarl horse standard.tga","cavalry n jarl horse standard.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry n jarl iron.tga","cavalry n jarl iron.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry n jarl standard.tga","cavalry n jarl standard.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry n raiding cavalry bronze.tga","cavalry n raiding cavalry bronze.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry n raiding cavalry copper.tga","cavalry n raiding cavalry copper.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry n raiding cavalry horse bronze.tga","cavalry n raiding cavalry horse bronze.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry n raiding cavalry horse copper.tga","cavalry n raiding cavalry horse copper.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry n raiding cavalry horse iron.tga","cavalry n raiding cavalry horse iron.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry n raiding cavalry horse standard.tga","cavalry n raiding cavalry horse standard.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry n raiding cavalry iron.tga","cavalry n raiding cavalry iron.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry n raiding cavalry standard.tga","cavalry n raiding cavalry standard.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry x javelin bronze.tga","cavalry x javelin bronze.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry x javelin copper.tga","cavalry x javelin copper.tga",,"64","64","1","BC3",,"2",,
"textures\cavalry x javelin hero.tga","cavalry x javelin hero.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry x javelin horse bronze.tga","cavalry x javelin horse bronze.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry x javelin horse copper.tga","cavalry x javelin horse copper.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry x javelin horse hero.tga","cavalry x javelin horse hero.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry x javelin horse iron.tga","cavalry x javelin horse iron.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry x javelin horse standard.tga","cavalry x javelin horse standard.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry x javelin iron.tga","cavalry x javelin iron.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry x javelin standard.tga","cavalry x javelin standard.tga",,"64","64","1","BC3",,"2",,
"textures\cavalry x lancer bronze.tga","cavalry x lancer bronze.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry x lancer cape iron.tga","cavalry x lancer cape iron.tga",,"32","64","1","BC3",,"3",,
"textures\cavalry x lancer copper.tga","cavalry x lancer copper.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry x lancer horse bronze.tga","cavalry x lancer horse bronze.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry x lancer horse copper.tga","cavalry x lancer horse copper.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry x lancer horse hero.tga","cavalry x lancer horse hero.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry x lancer horse iron.tga","cavalry x lancer horse iron.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry x lancer horse standard.tga","cavalry x lancer horse standard.tga",,"128","128","1","BC3",,"3",,
"textures\cavalry x lancer iron.tga","cavalry x lancer iron.tga",,"64","64","1","BC3",,"3",,
"textures\cavalry x lancer standard.tga","cavalry x lancer standard.tga",,"64","64","1","BC3",,"3",,
"textures\cine a arkantos map.tga","cine a arkantos map.tga",,"256","256","1","BC3",,"3",,
"textures\cine a arkantosman map.tga","cine a arkantosman map.tga",,"256","256","1","BC3",,"3",,
"textures\cine a brokk map.tga","cine a brokk map.tga",,"256","256","1","BC3",,"3",,
"textures\cine a eitri map.tga","cine a eitri map.tga",,"256","256","1","BC3",,"3",,
"textures\cine a jarl helmet map.tga","cine a jarl helmet map.tga",,"128","128","1","BC3",,"3",,
"textures\cine a jarl horse map.tga","cine a jarl horse map.tga",,"256","256","1","BC3",,"3",,
"textures\cine a jarl map.tga","cine a jarl map.tga",,"256","256","1","BC3",,"3",,
"textures\cine a kemsyt head bag.tga","cine a kemsyt head bag.tga",,"128","128","1","BC3",,"1",,
"textures\cine a skult map.tga","cine a skult map.tga",,"256","256","1","BC3",,"3",,
"textures\cine c danzhu.tga","cine c danzhu.tga",,"256","256","4","BC3",,"101",,
"textures\cine c emperor.tga","cine c emperor.tga",,"512","512","4","BC3",,"1",,
"textures\cine c jiaolong.tga","cine c jiaolong.tga",,"256","256","4","BC3",,"216",,
"textures\cine c shun shoulder.tga","cine c shun shoulder.tga",,"128","128","4","BC3",,"4",,
"textures\cine c shun spear.tga","cine c shun spear.tga",,"128","256","4","BC3",,"1",,
"textures\cine c shun.tga","cine c shun.tga",,"512","512","4","BC3",,"252",,
"textures\cine c zhi.tga","cine c zhi.tga",,"256","256","4","BC3",,"254",,
"textures\cine e axeman.tga","cine e axeman.tga",,"256","256","1","BC3",,"3",,
"textures\cine e infantry map.tga","cine e infantry map.tga",,"256","256","1","BC3",,"3",,
"textures\cine e setna.tga","cine e setna.tga",,"256","256","1","BC3",,"3",,
"textures\cine g ajax map.tga","cine g ajax map.tga",,"256","256","1","BC3",,"3",,
"textures\cine g ajax old map.tga","cine g ajax old map.tga",,"256","256","1","BC3",,"2",,
"textures\cine g amanra map.tga","cine g amanra map.tga",,"256","256","1","BC3",,"3",,
"textures\cine g amanra old map.tga","cine g amanra old map.tga",,"256","256","1","BC3",,"3",,
"textures\cine g chiron map.tga","cine g chiron map.tga",,"256","256","1","BC3",,"3",,
"textures\cine g gargarensis map.tga","cine g gargarensis map.tga",,"256","256","1","BC3",,"3",,
"textures\cine g hoplite shield.tga","cine g hoplite shield.tga",,"128","64","1","BC3",,"3",,
"textures\cine g kastor map.tga","cine g kastor map.tga",,"256","256","1","BC3",,"3",,
"textures\cine g old man map.tga","cine g old man map.tga",,"256","256","1","BC3",,"3",,
"textures\cine g poseidon stone.tga","cine g poseidon stone.tga",,"256","256","1","BC3",,"2",,
"textures\cine n hersir.tga","cine n hersir.tga",,"256","256","1","BC3",,"3",,
"textures\cine n huskarl cape.tga","cine n huskarl cape.tga",,"128","128","1","BC3",,"3",,
"textures\cine n huskarl.tga","cine n huskarl.tga",,"256","256","1","BC3",,"3",,
"textures\cine n reginleif map.tga","cine n reginleif map.tga",,"256","256","1","BC3",,"3",,
"textures\cine n reginleif weapons map.tga","cine n reginleif weapons map.tga",,"256","256","1","BC3",,"3",,
"textures\cine n ulfsark.tga","cine n ulfsark.tga",,"256","256","1","BC3",,"3",,
"textures\cine spear map.tga","cine spear map.tga",,"128","256","1","BC3",,"1",,
"textures\cine x hp arcusmap.tga","cine x hp arcusmap.tga",,"256","256","1","BC3",,"3",,
"textures\cine x hp arcusweaponsmap.tga","cine x hp arcusweaponsmap.tga",,"128","128","1","BC3",,"3",,
"textures\cine x hp automatonmap.tga","cine x hp automatonmap.tga",,"256","256","1","BC3",,"3",,
"textures\cine x hp fanaticmap.tga","cine x hp fanaticmap.tga",,"256","256","1","BC3",,"3",,
"textures\cine x hp melagiusmap.tga","cine x hp melagiusmap.tga",,"256","256","1","BC3",,"3",,
"textures\cine x kastor adult.tga","cine x kastor adult.tga",,"256","256","1","BC3",,"3",,
"textures\cine x krios.tga","cine x krios.tga",,"256","256","1","BC3",,"3",,
"textures\cine x mp melagius head.tga","cine x mp melagius head.tga",,"16","16","1","BC3",,"2",,
"textures\cine x trident soldier cape.tga","cine x trident soldier cape.tga",,"128","256","1","BC3",,"3",,
"textures\cine x trident soldier helmet.tga","cine x trident soldier helmet.tga",,"128","128","1","BC3",,"1",,
"textures\cine x trident soldier shield.tga","cine x trident soldier shield.tga",,"256","256","1","BC3",,"3",,
"textures\cine x trident soldier.tga","cine x trident soldier.tga",,"256","256","1","BC3",,"3",,
"textures\cinematic naval g trireme.tga","cinematic naval g trireme.tga",,"256","256","1","BC3",,"3",,
"textures\cyclops high.tga","cyclops high.tga",,"256","256","1","BC3",,"3",,
"textures\forkboy map.tga","forkboy map.tga",,"128","128","1","BC3",,"3",,
"textures\g hypaspist highmodelmap.tga","g hypaspist highmodelmap.tga",,"256","256","1","BC3",,"3",,
"textures\gaia wonder map2.tga","gaia wonder map2.tga",,"256","256","1","BC3",,"3",,
"textures\gine g kamos map.tga","gine g kamos map.tga",,"256","256","1","BC3",,"3",,
"textures\greekheromap.tga","greekheromap.tga",,"256","256","1","BC3",,"3",,
"textures\hero c general cape.tga","hero c general cape.tga",,"128","128","4","BC3",,"1",,
"textures\hero c general flag alpha.tga","hero c general flag alpha.tga",,"32","32","4","BC3",,"4",,
"textures\hero c general flag.tga","hero c general flag.tga",,"128","64","4","BC3",,"2",,
"textures\hero c general head.tga","hero c general head.tga",,"32","32","4","BC3",,"48",,
"textures\hero c general horse.tga","hero c general horse.tga",,"128","128","4","BC3",,"140",,
"textures\hero c general.tga","hero c general.tga",,"128","128","4","BC3",,"139",,
"textures\hero c immortal.tga","hero c immortal.tga",,"64","64","4","BC3",,"70",,
"textures\hero c monk head.tga","hero c monk head.tga",,"32","32","4","BC3",,"1",,
"textures\hero c monk weapon.tga","hero c monk weapon.tga",,"16","128","4","BC3",,"1",,
"textures\hero c monk.tga","hero c monk.tga",,"64","64","4","BC3",,"79",,
"textures\hero g achilles cape.tga","hero g achilles cape.tga",,"64","32","1","BC3",,"18",,
"textures\hero g achilles.tga","hero g achilles.tga",,"128","128","1","BC3",,"29",,
"textures\hero g ajax.tga","hero g ajax.tga",,"64","64","1","BC3",,"3",,
"textures\hero g atalanta shield.tga","hero g atalanta shield.tga",,"64","32","1","BC3",,"3",,
"textures\hero g atalanta.tga","hero g atalanta.tga",,"64","64","1","BC3",,"3",,
"textures\hero g athena head low map.tga","hero g athena head low map.tga",,"32","32","1","BC3",,"1",,
"textures\hero g athena low map.tga","hero g athena low map.tga",,"64","64","1","BC3",,"3",,
"textures\hero g belerophon shield.tga","hero g belerophon shield.tga",,"64","32","1","BC3",,"3",,
"textures\hero g belerophon.tga","hero g belerophon.tga",,"64","64","1","BC3",,"2",,
"textures\hero g bellerophon shield.tga","hero g bellerophon shield.tga",,"64","32","1","BC3",,"3",,
"textures\hero g chiron shield.tga","hero g chiron shield.tga",,"64","32","1","BC3",,"3",,
"textures\hero g chiron.tga","hero g chiron.tga",,"256","256","1","BC3",,"3",,
"textures\hero g heracles head.tga","hero g heracles head.tga",,"64","32","1","BC3",,"2",,
"textures\hero g heracles shield.tga","hero g heracles shield.tga",,"64","32","1","BC3",,"3",,
"textures\hero g heracles.tga","hero g heracles.tga",,"64","64","1","BC3",,"3",,
"textures\hero g hercules.tga","hero g hercules.tga",,"64","64","1","BC3",,"3",,
"textures\hero g hippolyta.tga","hero g hippolyta.tga",,"64","64","1","BC3",,"2",,
"textures\hero g jason shield.tga","hero g jason shield.tga",,"64","32","1","BC3",,"3",,
"textures\hero g jason standard.tga","hero g jason standard.tga",,"64","64","1","BC3",,"3",,
"textures\hero g perseus standard.tga","hero g perseus standard.tga",,"64","64","1","BC3",,"3",,
"textures\hero g physician head.tga","hero g physician head.tga",,"32","32","4","BC3",,"1",,
"textures\hero g physician.tga","hero g physician.tga",,"64","64","4","BC3",,"83",,
"textures\hero g polyphemus shield.tga","hero g polyphemus shield.tga",,"64","32","1","BC3",,"3",,
"textures\hero g theseus shield.tga","hero g theseus shield.tga",,"64","32","1","BC3",,"2",,
"textures\hero g theseus.tga","hero g theseus.tga",,"64","64","1","BC3",,"3",,
"textures\hero n hero low.tga","hero n hero low.tga",,"64","64","1","BC3",,"2",,
"textures\hero n hero.tga","hero n hero.tga",,"128","128","1","BC3",,"3",,
"textures\hero n hersir.tga","hero n hersir.tga",,"128","128","1","BC3",,"3",,
"textures\hero n ragnorok female head.tga","hero n ragnorok female head.tga",,"32","32","1","BC3",,"1",,
"textures\hero n ragnorok female.tga","hero n ragnorok female.tga",,"64","64","1","BC3",,"3",,
"textures\hero n ragnorok male head.tga","hero n ragnorok male head.tga",,"32","32","1","BC3",,"1",,
"textures\hero n ragnorok male.tga","hero n ragnorok male.tga",,"64","64","1","BC3",,"3",,
"textures\hero x ajax.tga","hero x ajax.tga",,"64","64","1","BC3",,"3",,
"textures\hero x kastor.tga","hero x kastor.tga",,"64","64","1","BC3",,"3",,
"textures\hoplitemap.tga","hoplitemap.tga",,"256","256","1","BC3",,"3",,
"textures\icons\command time shift icons 32.tga","command time shift icons 32.tga",,"32","32","1","DeflatedRGBA8",,"2",,
"textures\infantry c halberdier bronze.tga","infantry c halberdier bronze.tga",,"64","64","4","BC3",,"108",,
"textures\infantry c halberdier copper.tga","infantry c halberdier copper.tga",,"64","64","4","BC3",,"95",,
"textures\infantry c halberdier head bronze.tga","infantry c halberdier head bronze.tga",,"32","32","4","BC3",,"18",,
"textures\infantry c halberdier head copper.tga","infantry c halberdier head copper.tga",,"32","32","4","BC3",,"18",,
"textures\infantry c halberdier head iron.tga","infantry c halberdier head iron.tga",,"32","32","4","BC3",,"18",,
"textures\infantry c halberdier head standard.tga","infantry c halberdier head standard.tga",,"32","32","4","BC3",,"18",,
"textures\infantry c halberdier iron.tga","infantry c halberdier iron.tga",,"64","64","4","BC3",,"114",,
"textures\infantry c halberdier standard.tga","infantry c halberdier standard.tga",,"64","64","4","BC3",,"88",,
"textures\infantry e axeman bronze.tga","infantry e axeman bronze.tga",,"64","64","1","BC3",,"3",,
"textures\infantry e axeman copper.tga","infantry e axeman copper.tga",,"64","64","1","BC3",,"3",,
"textures\infantry e axeman iron.tga","infantry e axeman iron.tga",,"64","64","1","BC3",,"3",,
"textures\infantry e axeman map.tga","infantry e axeman map.tga",,"64","64","1","BC3",,"3",,
"textures\infantry e axeman standard.tga","infantry e axeman standard.tga",,"64","64","1","BC3",,"3",,
"textures\infantry e chariot archer iron map.tga","infantry e chariot archer iron map.tga",,"64","64","1","BC3",,"2",,
"textures\infantry e khopesh bronze.tga","infantry e khopesh bronze.tga",,"64","64","4","BC3",,"89",,
"textures\infantry e khopesh copper.tga","infantry e khopesh copper.tga",,"64","64","4","BC3",,"126",,
"textures\infantry e khopesh head bronze.tga","infantry e khopesh head bronze.tga",,"64","32","4","BC3",,"2",,
"textures\infantry e khopesh head copper.tga","infantry e khopesh head copper.tga",,"64","32","4","BC3",,"2",,
"textures\infantry e khopesh head iron.tga","infantry e khopesh head iron.tga",,"64","32","4","BC3",,"2",,
"textures\infantry e khopesh head standard.tga","infantry e khopesh head standard.tga",,"64","32","4","BC3",,"2",,
"textures\infantry e khopesh iron.tga","infantry e khopesh iron.tga",,"64","64","4","BC3",,"92",,
"textures\infantry e khopesh standard.tga","infantry e khopesh standard.tga",,"64","64","4","BC3",,"45",,
"textures\infantry e mercenary head.tga","infantry e mercenary head.tga",,"32","32","1","BC3",,"1",,
"textures\infantry e mercenary.tga","infantry e mercenary.tga",,"64","64","1","BC3",,"3",,
"textures\infantry e spearman bronze.tga","infantry e spearman bronze.tga",,"64","64","1","BC3",,"3",,
"textures\infantry e spearman copper.tga","infantry e spearman copper.tga",,"64","64","1","BC3",,"3",,
"textures\infantry e spearman iron.tga","infantry e spearman iron.tga",,"64","64","1","BC3",,"2",,
"textures\infantry e spearman map.tga","infantry e spearman map.tga",,"64","64","1","BC3",,"3",,
"textures\infantry e spearman shield map.tga","infantry e spearman shield map.tga",,"32","32","1","BC3",,"1",,
"textures\infantry e spearman standard.tga","infantry e spearman standard.tga",,"64","64","1","BC3",,"3",,
"textures\infantry g hoplite bronze.tga","infantry g hoplite bronze.tga",,"64","64","1","BC3",,"3",,
"textures\infantry g hoplite copper.tga","infantry g hoplite copper.tga",,"64","64","1","BC3",,"3",,
"textures\infantry g hoplite head iron.tga","infantry g hoplite head iron.tga",,"32","32","1","BC3",,"2",,
"textures\infantry g hoplite iron.tga","infantry g hoplite iron.tga",,"64","64","1","BC3",,"3",,
"textures\infantry g hoplite map_01.tga","infantry g hoplite map_01.tga",,"64","64","1","BC3",,"3",,
"textures\infantry g hoplite map_02.tga","infantry g hoplite map_02.tga",,"64","64","1","BC3",,"3",,
"textures\infantry g hoplite map_03.tga","infantry g hoplite map_03.tga",,"64","64","1","BC3",,"3",,
"textures\infantry g hoplite map_04.tga","infantry g hoplite map_04.tga",,"64","64","1","BC3",,"3",,
"textures\infantry g hoplite standard.tga","infantry g hoplite standard.tga",,"64","64","1","BC3",,"3",,
"textures\infantry g hypaspist bronze.tga","infantry g hypaspist bronze.tga",,"64","64","1","BC3",,"3",,
"textures\infantry g hypaspist copper.tga","infantry g hypaspist copper.tga",,"64","64","1","BC3",,"3",,
"textures\infantry g hypaspist head bronze.tga","infantry g hypaspist head bronze.tga",,"32","32","1","BC3",,"2",,
"textures\infantry g hypaspist head copper.tga","infantry g hypaspist head copper.tga",,"32","32","1","BC3",,"2",,
"textures\infantry g hypaspist head iron.tga","infantry g hypaspist head iron.tga",,"32","32","1","BC3",,"2",,
"textures\infantry g hypaspist head standard.tga","infantry g hypaspist head standard.tga",,"32","32","1","BC3",,"2",,
"textures\infantry g hypaspist iron.tga","infantry g hypaspist iron.tga",,"64","64","1","BC3",,"3",,
"textures\infantry g hypaspist map.tga","infantry g hypaspist map.tga",,"64","64","1","BC3",,"2",,
"textures\infantry g hypaspist standard.tga","infantry g hypaspist standard.tga",,"64","64","1","BC3",,"3",,
"textures\infantry g militia.tga","infantry g militia.tga",,"64","64","1","BC3",,"3",,
"textures\infantry g myrmidon head iron.tga","infantry g myrmidon head iron.tga",,"64","32","1","BC3",,"2",,
"textures\infantry g myrmidon iron.tga","infantry g myrmidon iron.tga",,"64","64","1","BC3",,"3",,
"textures\infantry n bondi bronze.tga","infantry n bondi bronze.tga",,"64","64","1","BC3",,"41",,
"textures\infantry n bondi copper.tga","infantry n bondi copper.tga",,"64","64","1","BC3",,"41",,
"textures\infantry n bondi head bronze.tga","infantry n bondi head bronze.tga",,"32","32","1","BC3",,"4",,
"textures\infantry n bondi head copper.tga","infantry n bondi head copper.tga",,"32","32","1","BC3",,"4",,
"textures\infantry n bondi head iron.tga","infantry n bondi head iron.tga",,"32","32","1","BC3",,"4",,
"textures\infantry n bondi head standard.tga","infantry n bondi head standard.tga",,"32","32","1","BC3",,"4",,
"textures\infantry n bondi iron.tga","infantry n bondi iron.tga",,"64","64","1","BC3",,"41",,
"textures\infantry n bondi standard.tga","infantry n bondi standard.tga",,"64","64","1","BC3",,"20",,
"textures\infantry n huskarl bronze.tga","infantry n huskarl bronze.tga",,"64","64","1","BC3",,"3",,
"textures\infantry n huskarl copper.tga","infantry n huskarl copper.tga",,"64","64","1","BC3",,"3",,
"textures\infantry n huskarl iron.tga","infantry n huskarl iron.tga",,"64","64","1","BC3",,"3",,
"textures\infantry n huskarl standard.tga","infantry n huskarl standard.tga",,"64","64","1","BC3",,"3",,
"textures\infantry n ulfsark bronze.tga","infantry n ulfsark bronze.tga",,"64","64","1","BC3",,"3",,
"textures\infantry n ulfsark copper.tga","infantry n ulfsark copper.tga",,"64","64","1","BC3",,"3",,
"textures\infantry n ulfsark iron.tga","infantry n ulfsark iron.tga",,"64","64","1","BC3",,"3",,
"textures\infantry n ulfsark map.tga","infantry n ulfsark map.tga",,"64","64","1","BC3",,"3",,
"textures\infantry n ulfsark scout.tga","infantry n ulfsark scout.tga",,"64","64","1","BC3",,"40",,
"textures\infantry n ulfsark standard.tga","infantry n ulfsark standard.tga",,"64","64","1","BC3",,"3",,
"textures\infantry x 2 sword fighter hero.tga","infantry x 2 sword fighter hero.tga",,"64","64","1","BC3",,"3",,
"textures\infantry x 2 sword fighter iron.tga","infantry x 2 sword fighter iron.tga",,"64","64","1","BC3",,"3",,
"textures\infantry x maceman bronze.tga","infantry x maceman bronze.tga",,"64","64","1","BC3",,"3",,
"textures\infantry x maceman copper.tga","infantry x maceman copper.tga",,"64","64","1","BC3",,"3",,
"textures\infantry x maceman hero.tga","infantry x maceman hero.tga",,"64","64","1","BC3",,"3",,
"textures\infantry x maceman iron.tga","infantry x maceman iron.tga",,"64","64","1","BC3",,"3",,
"textures\infantry x maceman standard.tga","infantry x maceman standard.tga",,"64","64","1","BC3",,"3",,
"textures\infantry x swordsman bronze.tga","infantry x swordsman bronze.tga",,"64","64","1","BC3",,"2",,
"textures\infantry x swordsman copper.tga","infantry x swordsman copper.tga",,"64","64","1","BC3",,"2",,
"textures\infantry x swordsman hero.tga","infantry x swordsman hero.tga",,"64","64","1","BC3",,"2",,
