"Texture","MaterialUses","CT0Uses","CT4Uses","OtherCTUses","BTI_AlphaBits","BTI_Format","BTI_File"
"Infantry E Mercenary","29","15","14","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry e mercenary.bti"
"Infantry E Spearman Standard","12","6","5","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry e spearman standard.bti"
"Infantry G Hoplite Bronze","47","23","13","11","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry g hoplite bronze.bti"
"Infantry G Hoplite Head Iron","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry g hoplite head iron.bti"
"Infantry G Hoplite Standard","27","7","20","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry g hoplite standard.bti"
"Infantry G Hypaspist Head Iron","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry g hypaspist head iron.bti"
"Infantry G Hypaspist Standard","21","10","8","3","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry g hypaspist standard.bti"
"Infantry G Militia","12","6","5","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry g militia.bti"
"Infantry G Myrmidon Head Iron","11","1","9","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry g myrmidon head iron.bti"
"Infantry G Myrmidon Iron","18","9","8","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry g myrmidon iron.bti"
"Infantry N Huskarl Bronze","19","9","10","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry n huskarl bronze.bti"
"infantry n huskarl iron","3","1","2","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry n huskarl iron.bti"
"Infantry N Huskarl Standard","18","9","8","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry n huskarl standard.bti"
"infantry n ulfsark scout","15","0","15","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry n ulfsark scout.bti"
"Infantry N Ulfsark Standard","18","9","8","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry n ulfsark standard.bti"
"Infantry X 2 Sword Fighter Iron","37","19","18","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry x 2 sword fighter iron.bti"
"Infantry X Maceman Iron","37","19","18","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry x maceman iron.bti"
"Infantry X Swordsman Iron","40","14","26","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry x swordsman iron.bti"
"Infantry X Trident Soldier Cape Iron","21","0","21","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry x trident soldier cape iron.bti"
"Infantry X Trident Soldier Hero","4","2","2","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry x trident soldier hero.bti"
"Infantry X Trident Soldier Iron","38","19","19","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry x trident soldier iron.bti"
"Infantry X Trident Soldier Shield Hero","2","0","2","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry x trident soldier shield hero.bti"
"Infantry X Trident Soldier Shield Iron","21","0","21","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\infantry x trident soldier shield iron.bti"
"Kronos Wonder Map2","12","6","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\kronos wonder map2.bti"
"LP Cine X Krios","12","6","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\lp cine x krios.bti"
"LP MU X Argus Map","15","7","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\lp mu x argus map.bti"
"LP MU X Stymphalian Bird Map","14","9","5","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\lp mu x stymphalian bird map.bti"
"MU X Argus Map","15","7","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\mu x argus map.bti"
"MU X Atlantean Flying Medic Map","46","31","7","8","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\mu x atlantean flying medic map.bti"
"MU X Atlantean Hundred Giant Map","40","20","20","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\mu x atlantean hundred giant map.bti"
"MU X Atlantean Lampedes map","48","32","16","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\mu x atlantean lampedes map.bti"
"MU X Atlantean ManOWar Map","31","15","12","4","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\mu x atlantean manowar map.bti"
"MU X Atlantean Satyr Map","32","16","8","8","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\mu x atlantean satyr map.bti"
"MU X Automation Map","45","23","22","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\mu x automation map.bti"
"MU X Behemoth Map","24","12","12","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\mu x behemoth map.bti"
"MU X Dryad","26","12","14","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\mu x dryad.bti"
"MU X Nereid Rider Map","24","13","11","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\mu x nereid rider map.bti"
"MU X Promethean Map","76","38","38","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\mu x promethean map.bti"
"MU X Servant of Oceanus Map","21","7","14","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\mu x servant of oceanus map.bti"
"MU X Stymphalian Bird Map","15","10","5","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\mu x stymphalian bird map.bti"
"Naval C All","23","0","23","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\naval c all.bti"
"Naval E All","121","71","45","5","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\naval e all.bti"
"Naval E Pirate Ship","44","22","12","10","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\naval e pirate ship.bti"
"Naval G All","193","92","95","6","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\naval g all.bti"
"naval g all wrecked","6","2","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\naval g all wrecked.bti"
"Naval N Kraken","62","52","10","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\naval n kraken.bti"
"Naval X All","110","55","55","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\naval x all.bti"
"Oranos Wonder Map","12","8","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\oranos wonder map.bti"
"Oranos Wonder Map1","11","6","5","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\oranos wonder map1.bti"
"Platform Map","12","6","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\platform map.bti"
"Projectile A Ballista Arrow","4","0","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\projectile a ballista arrow.bti"
"Scenario B Amanra map","39","19","20","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario b amanra map.bti"
"scenario c danzhu","6","0","6","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario c danzhu.bti"
"scenario c danzhu head","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario c danzhu head.bti"
"Scenario C Gargarensis map","50","25","25","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario c gargarensis map.bti"
"scenario c jiaolong","19","8","11","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario c jiaolong.bti"
"scenario c jiaolong head","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario c jiaolong head.bti"
"Scenario C Kamos","97","49","48","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario c kamos.bti"
"scenario c shun","30","0","30","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario c shun.bti"
"scenario c shun head","11","0","11","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario c shun head.bti"
"Scenario E Great Box","6","0","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario e great box.bti"
"Scenario E Guardian","78","39","39","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario e guardian.bti"
"Scenario E Setna map","38","20","18","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario e setna map.bti"
"Scenario G Arkantos Man map","24","12","12","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario g arkantos man map.bti"
"Scenario G Arkantos map","59","29","30","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario g arkantos map.bti"
"Scenario G Chiron Map","60","30","26","4","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario g chiron map.bti"
"Scenario G Circe","64","43","21","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario g circe.bti"
"Scenario G Kastor map","16","6","10","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario g kastor map.bti"
"Scenario G Odysseus map","41","20","10","11","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario g odysseus map.bti"
"Scenario G Old Man Map","4","2","2","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario g old man map.bti"
"Scenario G Skult Map","18","9","9","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario g skult map.bti"
"Scenario N Brokk Standard","72","36","36","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario n brokk standard.bti"
"Scenario N Eitri Standard","73","36","37","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario n eitri standard.bti"
"Scenario N Reginleif map","47","24","23","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario n reginleif map.bti"
"Scenario N Reginleif Weapons map","47","24","23","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario n reginleif weapons map.bti"
"scenario t troy wall long","18","9","9","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario t troy wall long.bti"
"scenario t troy wall long dead","8","4","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario t troy wall long dead.bti"
"Scenario Theocrat","23","12","11","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario theocrat.bti"
"Scenario Theocrat Staff","30","16","14","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario theocrat staff.bti"
"scenario x amanra map","44","22","11","11","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\scenario x amanra map.bti"
"SFX A Healing Spring Stone","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\sfx a healing spring stone.bti"
"SFX A Serpent","24","11","7","6","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\sfx a serpent.bti"
"SFX A Walking Woods","23","12","11","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\sfx a walking woods.bti"
"SFX E Citadel","6","3","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\sfx e citadel.bti"
"SFX E Citadel Age4","6","3","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\sfx e citadel age4.bti"
"SFX E Son of Osiris","46","23","11","12","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\sfx e son of osiris.bti"
"SFX G Animal Magnetism","6","3","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\sfx g animal magnetism.bti"
"SFX G Plenty","14","10","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\sfx g plenty.bti"
"SFX G Sentinel","12","7","5","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\sfx g sentinel.bti"
"siege c fire lance","5","0","5","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege c fire lance.bti"
"siege c fire lance head","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege c fire lance head.bti"
"Siege C Sitting Tiger","6","0","6","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege c sitting tiger.bti"
"Siege E Catapult","22","12","6","4","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege e catapult.bti"
"Siege G Helepolis","24","16","3","5","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege g helepolis.bti"
"Siege G Petrobolos","13","6","7","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege g petrobolos.bti"
"Siege G Petrobolos Iron","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege g petrobolos iron.bti"
"Siege N Ballista","17","9","5","3","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege n ballista.bti"
"Siege N Ballista Bolt","34","17","13","4","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege n ballista bolt.bti"
"Siege N Ballista Bolt Iron","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege n ballista bolt iron.bti"
"Siege N Ram","31","17","7","7","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege n ram.bti"
"Siege N Ram Iron","26","13","8","5","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege n ram iron.bti"
"Siege X Chieroballista","35","18","17","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege x chieroballista.bti"
"Siege X Chieroballista Man","24","12","12","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege x chieroballista man.bti"
"Siege X Fire Siphon","22","11","11","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege x fire siphon.bti"
"Siege X Onager","4","0","4","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\siege x onager.bti"
"special c azure dragon","5","0","5","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special c azure dragon.bti"
"special c dragon turtle","6","0","6","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special c dragon turtle.bti"
"special c earth dragon","4","0","4","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special c earth dragon.bti"
"special c jiangshi","5","0","5","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special c jiangshi.bti"
"special c jiangshi head","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special c jiangshi head.bti"
"special c monkey king","6","0","6","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special c monkey king.bti"
"Special C Pixiu","7","0","7","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\Special C Pixiu.bti"
"special c salamander","11","0","11","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special c salamander.bti"
"special c terracotta soldier","6","0","6","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special c terracotta soldier.bti"
"special c vermillion bird","5","0","5","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special c vermillion bird.bti"
"special c vermillion bird wing","5","0","5","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special c vermillion bird wing.bti"
"Special E Anubite","7","3","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special e anubite.bti"
"Special E Apep map","10","5","5","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special e apep map.bti"
"Special E Mummy map","60","40","8","12","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special e mummy map.bti"
"Special E Petesuchos","32","16","14","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special e petesuchos.bti"
"Special E Pharaoh","53","26","27","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special e pharaoh.bti"
"Special E Pharaoh Head","52","26","26","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special e pharaoh head.bti"
"Special E Phoenix","12","8","4","0","0","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special e phoenix.bti"
"Special E Phoenix Egg","6","3","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special e phoenix egg.bti"
"Special E Priest","38","19","17","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special e priest.bti"
"Special E Roc","42","28","9","5","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special e roc.bti"
"Special E Roc Basket","23","12","11","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special e roc basket.bti"
"Special E Scarab map","27","14","12","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special e scarab map.bti"
"Special E Scorpion Man","35","18","8","9","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special e scorpion man.bti"
"Special E Sphinx","40","20","9","11","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special e sphinx.bti"
"Special E Wadjet","42","28","12","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special e wadjet.bti"
"Special G Agamemnon","39","19","9","11","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g agamemnon.bti"
"Special G Athena","16","8","8","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g athena.bti"
"Special G Carcinos","32","16","14","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g carcinos.bti"
"Special G Centaur","20","10","9","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g centaur.bti"
"Special G Chimera","32","16","7","9","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g chimera.bti"
"Special G Chimera map","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g chimera map.bti"
"Special G Chimera Tail","15","8","6","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g chimera tail.bti"
"Special G Colossus map","41","20","10","11","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g colossus map.bti"
"Special G Cyclops","40","20","9","11","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g cyclops.bti"
"Special G Cyclops map","5","2","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g cyclops map.bti"
"Special G Giant Turtle","2","1","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g giant turtle.bti"
"Special G Golem map","6","0","6","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g golem map.bti"
"Special G Hippocampus","18","6","5","7","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g hippocampus.bti"
"Special G Hydra Land","124","62","62","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g hydra land.bti"
"Special G Manticore","28","14","12","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g manticore.bti"
"Special G Medusa","39","21","16","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g medusa.bti"
"Special G Minotaur","51","26","11","14","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g minotaur.bti"
"Special G Nemean Lion","39","20","19","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g nemean lion.bti"
"Special G Pegasus Wings","52","27","25","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g pegasus wings.bti"
"Special G Scylla","124","62","26","36","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g scylla.bti"
"Special G Sea Turtle","32","16","15","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g sea turtle.bti"
"Special G Shade","33","20","5","8","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special g shade.bti"
"Special N Battle Boar","56","28","27","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special n battle boar.bti"
"Special N Einheriar","16","9","7","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special n einheriar.bti"
"Special N Fenris","40","20","18","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special n fenris.bti"
"Special N Fire Giant","34","17","8","9","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special n fire giant.bti"
"Special N Frost Giant","46","23","12","11","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special n frost giant.bti"
"Special N Giant","49","25","13","11","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special n giant.bti"
"Special N Jarl Cape map","23","11","12","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special n jarl cape map.bti"
"Special N Jormund Brood","8","4","4","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special n jormund brood.bti"
"Special N King Folstag Upgrade","30","15","15","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special n king folstag upgrade.bti"
"Special N Raven","23","16","4","3","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special n raven.bti"
"Special N Troll","41","21","10","10","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special n troll.bti"
"Special N Troll Bag","18","0","18","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special n troll bag.bti"
"Special N Valkyrie map","22","11","10","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special n valkyrie map.bti"
"Special X Oracle","40","20","20","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special x oracle.bti"
"Special X Oracle Hero","47","23","24","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\special x oracle hero.bti"
"Statue X Gaia Map","4","2","2","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\statue x gaia map.bti"
"Statue X Oranos Map","4","2","2","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\statue x oranos map.bti"
"Temp Santa Body","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\temp santa body.bti"
"Test Flags","15","0","15","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\test flags.bti"
"Theocrat Map","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\theocrat map.bti"
"Titan E Ra Pads Map","2","0","2","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\titan e ra pads map.bti"
"Titan E Ra Skirt Map","4","2","2","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\titan e ra skirt map.bti"
"Titan G Cerebus Map1","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\titan g cerebus map1.bti"
"Titan G Cerebus Map2","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\titan g cerebus map2.bti"
"Titan N Troll Map2","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\titan n troll map2.bti"
"Titan X Gaia","6","4","2","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\titan x gaia.bti"
"Titan X Golem Map1","2","1","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\titan x golem map1.bti"
"Titan X Kronos","1","0","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\titan x kronos.bti"
"Titan X Promethean 1","5","2","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\titan x promethean 1.bti"
"trade c caravan cargo","4","0","4","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\trade c caravan cargo.bti"
"Trade E Caravan Basket","44","22","22","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\trade e caravan basket.bti"
"Trade E Caravan Camel","43","22","21","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\trade e caravan camel.bti"
"Trade E Caravan Cargo","16","5","11","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\trade e caravan cargo.bti"
"Trade G Caravan Cargo","20","10","10","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\trade g caravan cargo.bti"
"Trade G Caravan Donkey","20","10","10","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\trade g caravan donkey.bti"
"Trade N Caravan Cargo","20","10","8","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\trade n caravan cargo.bti"
"Trade N Caravan Ox","52","26","22","4","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\trade n caravan ox.bti"
"Trade X Caravan","19","9","10","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\trade x caravan.bti"
"villager c female","17","0","17","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\villager c female.bti"
"villager c male standard","17","0","17","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\villager c male standard.bti"
"Villager E Female","43","21","20","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\villager e female.bti"
"Villager E Male Standard","52","26","25","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\villager e male standard.bti"
"Villager G Atlantean Male","41","21","20","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\villager g atlantean male.bti"
"Villager G Female","55","28","25","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\villager g female.bti"
"Villager G Male Standard","86","43","41","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\villager g male standard.bti"
"Villager N Female","40","21","17","2","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\villager n female.bti"
"Villager N Male Standard","44","22","21","1","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\villager n male standard.bti"
"Villager N Oxcart","20","10","10","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\villager n oxcart.bti"
"Villager X Female","68","35","33","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\villager x female.bti"
"Villager X Male","67","33","34","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\villager x male.bti"
"Villager X Pony","202","135","67","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\villager x pony.bti"
"Waypoint","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\waypoint.bti"
"World A Bouy","2","0","2","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world a bouy.bti"
"World A Underworld Passage Color Transform","3","0","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world a underworld passage color transform.bti"
"World A Waypoint Flag","1","0","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world a waypoint flag.bti"
"world c statue nuwa","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world c statue nuwa.bti"
"world c statue nuwa stand","3","0","3","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world c statue nuwa stand.bti"
"world c statue shennong","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world c statue shennong.bti"
"world c statue shennong head","1","0","1","0","4","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world c statue shennong head.bti"
"World E Garrison Flag","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world e garrison flag.bti"
"World E Statue Isis","17","10","7","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world e statue isis.bti"
"World E Statue Ra","6","3","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world e statue ra.bti"
"World E Statue Set","6","3","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world e statue set.bti"
"World G Garrison Flag","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world g garrison flag.bti"
"World G Hades Temple","4","2","2","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world g hades temple.bti"
"World G Statue Hades","6","3","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world g statue hades.bti"
"World G Statue Poseidon","23","11","12","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world g statue poseidon.bti"
"World G Statue Poseidon Base","10","9","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world g statue poseidon base.bti"
"World G Statue Zeus","6","3","3","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world g statue zeus.bti"
"World G Tent","4","2","2","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world g tent.bti"
"World N Garrison Flag","2","1","1","0","1","BC3","D:\AI_upscaling\AoMEE\extracted\textures\world n garrison flag.bti"
