"Texture","Total","CT0","CT4","OtherCT","PixelXForm"
"IGC Stone Prop","1","1","0","0","0"
"infantry c halberdier head bronze","1","0","1","0","0"
"infantry c halberdier head copper","1","0","1","0","0"
"infantry c halberdier head iron","1","0","1","0","0"
"infantry c halberdier head standard","1","0","1","0","0"
"infantry c halberdier standard","6","0","6","0","0"
"Infantry E Axeman Head Standard","7","7","0","0","0"
"Infantry E Axeman Standard","16","8","8","0","0"
"infantry e khopesh head standard","1","0","1","0","0"
"infantry e khopesh standard","6","0","6","0","0"
"Infantry E Mercenary","29","15","14","0","0"
"Infantry E Mercenary Head","16","16","0","0","0"
"Infantry E Spearman Head Bronze","1","1","0","0","0"
"Infantry E Spearman Head Copper","1","1","0","0","0"
"Infantry E Spearman Head Iron","1","1","0","0","0"
"Infantry E Spearman shield map","5","5","0","0","0"
"Infantry E Spearman Standard","12","6","5","1","0"
"Infantry G Hoplite Bronze","47","23","13","11","0"
"Infantry G Hoplite Head Bronze","2","1","1","0","0"
"Infantry G Hoplite Head Copper","1","1","0","0","0"
"Infantry G Hoplite Head Iron","2","1","1","0","0"
"Infantry G Hoplite Head Iron cine","1","1","0","0","0"
"Infantry G Hoplite Head Standard","2","2","0","0","0"
"infantry g hoplite iron cine","1","1","0","0","0"
"Infantry G Hoplite Standard","27","7","20","0","0"
"Infantry G Hypaspist Cape","10","0","10","0","0"
"Infantry G Hypaspist Head Bronze","1","1","0","0","0"
"Infantry G Hypaspist Head Copper","1","1","0","0","0"
"Infantry G Hypaspist Head Iron","2","1","1","0","0"
"Infantry G Hypaspist Head Standard","2","2","0","0","0"
"Infantry G Hypaspist Standard","21","10","8","3","0"
"Infantry G Militia","12","6","5","1","0"
"Infantry G Militia Head","11","11","0","0","0"
"Infantry G Myrmidon Head Iron","11","1","9","1","0"
"Infantry G Myrmidon Iron","18","9","8","1","0"
"Infantry G Normal Head Standard","2","2","0","0","0"
"Infantry N Huskarl Bronze","19","9","10","0","0"
"Infantry N Huskarl Cape","15","0","15","0","0"
"Infantry N Huskarl Head Iron","2","2","0","0","0"
"Infantry N Huskarl Head Standard","17","17","0","0","0"
"infantry n huskarl iron","3","1","2","0","0"
"Infantry N Huskarl Standard","18","9","8","1","0"
"Infantry N Ulfsark Head Bronze","2","2","0","0","0"
"Infantry N Ulfsark Head Copper","2","2","0","0","0"
"Infantry N Ulfsark Head Iron","2","2","0","0","0"
"infantry n ulfsark head scout","8","8","0","0","0"
"Infantry N Ulfsark Head Standard","10","10","0","0","0"
"infantry n ulfsark scout","15","0","15","0","0"
"Infantry N Ulfsark Standard","18","9","8","1","0"
"Infantry X 2 Sword Fighter Iron","37","19","18","0","0"
"Infantry X Maceman Bronze","1","1","0","0","0"
"Infantry X Maceman Copper","1","1","0","0","0"
"Infantry X Maceman Hero","1","1","0","0","0"
"Infantry X Maceman Iron","37","19","18","0","0"
"Infantry X Maceman Standard","1","1","0","0","0"
"Infantry X Swordsman Hero","13","13","0","0","0"
"Infantry X Swordsman Iron","40","14","26","0","0"
"Infantry X Trident Soldier Cape Iron","21","0","21","0","0"
"Infantry X Trident Soldier Head Iron","3","3","0","0","0"
"Infantry X Trident Soldier Hero","4","2","2","0","0"
"Infantry X Trident Soldier Iron","38","19","19","0","0"
"Infantry X Trident Soldier Shield Hero","2","0","2","0","0"
"Infantry X Trident Soldier Shield Iron","21","0","21","0","0"
"Infantry X Trident Soldier Trident Iron","8","8","0","0","0"
"Kronos Wonder Map1","6","6","0","0","0"
"Kronos Wonder Map2","12","6","6","0","0"
"LP Cavalry G Scout Horse","2","1","0","1","0"
"LP Cavalry X","92","46","0","46","0"
"LP Cine X Krios","12","6","6","0","0"
"LP E Cavalry","30","18","6","6","0"
"LP E Chariot Archer","17","12","0","5","0"
"LP E Infantry","70","35","0","35","0"
"LP E Mercenaries","30","15","0","15","0"
"LP E Villager","83","46","0","37","0"
"LP G Cataphract Horse Iron","21","10","0","11","0"
"lp g cavalry","75","47","0","28","0"
"LP G Crossbowman","28","18","0","10","0"
"LP G Hetairoi","26","8","0","18","0"
"LP G Infantry","75","41","0","34","0"
"LP G Militia","18","12","0","6","0"
"LP G Myrmidon","29","20","0","9","0"
"LP G Villager","89","49","0","40","0"
"LP Infantry Archery X","263","152","0","111","0"
"LP MU X Argus Map","15","7","8","0","0"
"LP MU X Stymphalian Bird Map","14","9","5","0","0"
"LP N Cavalry","34","17","0","17","0"
"LP N Dwarf","52","37","0","15","0"
"LP N Infantry","89","56","0","33","0"
"LP N Ragnorok","63","33","0","30","0"
"LP N Villager","72","38","0","34","0"
"LP Villager Trade X","151","76","0","75","0"
"Minotaur Ring","51","51","0","0","0"
"MU X Argus Map","15","7","8","0","0"
"MU X Atlantean Flying Medic Map","46","31","7","8","0"
"MU X Atlantean Hundred Giant Map","40","20","20","0","0"
"MU X Atlantean Lampedes map","48","32","16","0","0"
"MU X Atlantean ManOWar Map","31","15","12","4","0"
"MU X Atlantean Satyr Head Map","16","16","0","0","0"
"MU X Atlantean Satyr Map","32","16","8","8","0"
"MU X Automation Map","45","23","22","0","0"
"MU X Behemoth Map","24","12","12","0","0"
"MU X Dryad","26","12","14","0","0"
"MU X Dryad Hair","13","13","0","0","0"
"MU X Nereid Rider Map","24","13","11","0","0"
"MU X Nereid Shark Map","18","18","0","0","0"
"MU X Promethean Map","76","38","38","0","0"
"MU X Servant of Oceanus Map","21","7","14","0","0"
"MU X Stymphalian Bird Map","15","10","5","0","0"
"MU X Stymphatian Bird Projectile","1","1","0","0","0"
"N Titan Gate Ice","6","6","0","0","0"
"Naval C All","23","0","23","0","0"
"Naval E All","121","71","45","5","0"
"Naval E Pirate Ship","44","22","12","10","0"
"Naval G All","193","92","95","6","0"
"naval g all wrecked","6","2","4","0","0"
"Naval N All","126","74","49","3","0"
"Naval N Kraken","62","52","10","0","0"
"Naval N Kraken map","5","5","0","0","0"
"Naval N Longship map","4","2","2","0","0"
"Naval N Utility map","12","12","0","0","0"
"Naval X All","110","55","55","0","0"
"Norse_military04","4","4","0","0","0"
"Oranos Wonder Map","12","8","4","0","0"
"Oranos Wonder Map1","11","6","5","0","0"
"Oranos Wonder Map3","6","6","0","0","0"
"Platform Map","12","6","6","0","0"
"player color texture","62","0","0","62","0"
"Projectile A Ballista Arrow","4","0","4","0","0"
"Projectile A Siege Rock map","3","3","0","0","0"
"QuiverFletching","2","2","0","0","0"
"random_bricks","6","6","0","0","0"
"random_bricks2","5","5","0","0","0"
"random_bricks3","4","4","0","0","0"
"random_bricks4","4","4","0","0","0"
"saw_horse","3","3","0","0","0"
"Scenario A Dwarven Forge Belt","1","1","0","0","0"
"Scenario A Dwarven Forge Shared A","3","3","0","0","0"
"Scenario A Dwarven Forge Shared B","8","8","0","0","0"
"Scenario A Gate Ram","7","7","0","0","0"
"Scenario A Gate Ram Wall","4","4","0","0","0"
"Scenario A Pit","10","10","0","0","0"
"Scenario A Pit Attachments","5","5","0","0","0"
"Scenario A Pit Cliff","2","2","0","0","0"
"Scenario A Pit Edge","3","3","0","0","0"
"Scenario A Pit Tile Cracky Edge","9","9","0","0","0"
"Scenario A Tartarus Door","15","15","0","0","0"
"Scenario A Tartarus Door Cliff","10","10","0","0","0"
"Scenario A Tartarus Door Crack","1","1","0","0","0"
"Scenario B Amanra map","39","19","20","0","0"
"Scenario B Amanra SwordShield map","40","40","0","0","0"
"scenario c danzhu","6","0","6","0","0"
"scenario c danzhu head","1","0","1","0","0"
"Scenario C Gargarensis map","50","25","25","0","0"
"scenario c jiaolong","19","8","11","0","0"
"scenario c jiaolong head","1","0","1","0","0"
"Scenario C Kamos","97","49","48","0","0"
"Scenario C Kamos Blade","24","24","0","0","0"
"scenario c shun","30","0","30","0","0"
"scenario c shun head","11","0","11","0","0"
"Scenario E Great Box","6","0","6","0","0"
"Scenario E Great Box Camel","2","2","0","0","0"
"Scenario E Great Box Cart","4","4","0","0","0"
"Scenario E Great Box map","5","4","1","0","0"
"Scenario E Guardian","78","39","39","0","0"
"Scenario E Jail Gates","1","1","0","0","0"
"Scenario E Kemsyt","22","22","0","0","0"
"Scenario E Setna map","38","20","18","0","0"
"Scenario E Setna Staff map","40","40","0","0","0"
"Scenario G Arkantos God Map","1","1","0","0","0"
"Scenario G Arkantos Head","30","30","0","0","0"
"Scenario G Arkantos Man map","24","12","12","0","0"
"Scenario G Arkantos man mapBlue","2","2","0","0","0"
"Scenario G Arkantos map","59","29","30","0","0"
"Scenario G Chiron Map","60","30","26","4","0"
"Scenario G Circe","64","43","21","0","0"
"Scenario G Circe Head","22","22","0","0","0"
"Scenario G Excavation","4","4","0","0","0"
"scenario g excavation terrain","5","5","0","0","0"
"Scenario G Kastor map","16","6","10","0","0"
"Scenario G Odysseus map","41","20","10","11","0"
"Scenario G Old Man Map","4","2","2","0","0"
"Scenario G Skult Map","18","9","9","0","0"
"Scenario N Brokk Head","38","38","0","0","0"
"Scenario N Brokk Standard","72","36","36","0","0"
"Scenario N Dwarven Mine Cliff A","3","3","0","0","0"
"Scenario N Dwarven Mine Cliff B","2","2","0","0","0"
"Scenario N Dwarven Mine Inside","1","1","0","0","0"
"Scenario N Dwarven Mine Opening","1","1","0","0","0"
"Scenario N Dwarven Mine Outside","1","1","0","0","0"
"Scenario N Eitri Head","38","38","0","0","0"
"Scenario N Eitri Standard","73","36","37","0","0"
"Scenario N Folstag Flag","17","10","7","0","0"
"scenario n pirate ship","16","8","8","0","0"
"Scenario N Reginleif map","47","24","23","0","0"
"Scenario N Reginleif Weapons map","47","24","23","0","0"
"Scenario N Thors Hammer","23","23","0","0","0"
"Scenario N Thors Hammer Cart","6","6","0","0","0"
"Scenario Old Man Head Map","2","2","0","0","0"
"Scenario Skult Head Map","8","8","0","0","0"
"Scenario T Shared","2","1","1","0","0"
"scenario t troy gate","8","8","0","0","0"
"scenario t troy gate deadB","4","4","0","0","0"
"scenario t troy wall long","18","9","9","0","0"
"scenario t troy wall long dead","8","4","4","0","0"
"Scenario Theocrat","23","12","11","0","0"
"Scenario Theocrat Head","12","12","0","0","0"
"Scenario Theocrat Staff","30","16","14","0","0"
"Scenario Theocrat Staff(pixelxform1)","2","0","2","0","2"
"Scenario Theocrat(pixelxform1)","1","0","1","0","1"
"scenario x amanra map","44","22","11","11","0"
"scenario x amanra swordshield map","43","43","0","0","0"
"SFX A Avalanche Snow","2","2","0","0","0"
"SFX A Avalanche Snow Moving","1","1","0","0","0"
"SFX A Boat Ripple Small","1","1","0","0","0"
"SFX A Carnivora","24","12","12","0","0"
"SFX A Carnivora Water","18","9","9","0","0"
"SFX A Healing Spring Stone","2","1","1","0","0"
"SFX A Healing Spring Water","1","1","0","0","0"
"SFX A Implode","6","6","0","0","0"
"SFX A Rain","2","2","0","0","0"
"SFX A Serpent","24","11","7","6","0"
"SFX A Snow","1","1","0","0","0"
"sfx a tunnel","1","1","0","0","0"
"sfx a vortex light ray","1","1","0","0","0"
"SFX A Walking Woods","23","12","11","0","0"
"sfx c earth dragon hole","1","1","0","0","0"
"sfx c flood","2","2","0","0","0"
"sfx c growth vines","23","23","0","0","0"
"SFX E Ancestors Water","32","21","11","0","0"
"SFX E Citadel","6","3","3","0","0"
"SFX E Citadel Age4","6","3","3","0","0"
"SFX E Inferno Fire Ground map","2","2","0","0","0"
"SFX E Locust Thick map","1","1","0","0","0"
"SFX E Locust Thin map","2","2","0","0","0"
"SFX E Meteor Blast map","2","2","0","0","0"
"SFX E Meteor map","2","2","0","0","0"
"SFX E Serpents Water","23","12","11","0","0"
"SFX E Son of Osiris","46","23","11","12","0"
"SFX E Son of Osiris Head","21","21","0","0","0"
"SFX G Animal Magnetism","6","3","3","0","0"
"SFX G Growth Plants","2","2","0","0","0"
"SFX G Plenty","14","10","4","0","0"
"SFX G Sentinel","12","7","5","0","0"
"SFX G Sentinel Weapons","5","5","0","0","0"
"SFX N Dwarven Mine","6","6","0","0","0"
"SFX N Frost Ice Block","21","21","0","0","0"
"SFX N Nidhogg","36","24","12","0","0"
"SFX N Tunnel map","1","1","0","0","0"
"sfx x arkatnos birth veins","2","2","0","0","0"
"sfx x spider egg bottom","3","3","0","0","0"
"sfx x spider egg sack","3","3","0","0","0"
"Shadow Cinematic units","3","3","0","0","0"
"shadow unit circle 32x32","4","4","0","0","0"
"shadow unit circle 64x64","9","9","0","0","0"
"siege c fire lance","5","0","5","0","0"
"siege c fire lance head","1","0","1","0","0"
"Siege C Sitting Tiger","6","0","6","0","0"
"Siege E Catapult","22","12","6","4","0"
"Siege E Catapult Projectile","15","15","0","0","0"
"Siege E Tower","14","7","7","0","0"
"Siege G Helepolis","24","16","3","5","0"
"Siege G Petrobolos","13","6","7","0","0"
"Siege G Petrobolos Iron","2","1","1","0","0"
"Siege G Petrobolos Projectile","9","9","0","0","0"
"Siege G Trojan Horse","4","4","0","0","0"
"Siege N Ballista","17","9","5","3","0"
"Siege N Ballista Bolt","34","17","13","4","0"
"Siege N Ballista Bolt Iron","2","1","1","0","0"
"Siege N Ram","31","17","7","7","0"
"Siege N Ram Carrier Shield","1","0","1","0","0"
"Siege N Ram Iron","26","13","8","5","0"
"Siege N Ram Ring","6","6","0","0","0"
"Siege N Ram Ring Iron","6","6","0","0","0"
"Siege X Chieroballista","35","18","17","0","0"
"Siege X Chieroballista Man","24","12","12","0","0"
"Siege X Fire Siphon","22","11","11","0","0"
"Siege X Fire Siphon Upgrade","12","12","0","0","0"
"Siege X Onager","4","0","4","0","0"
"SkyboxBlueSky_BK","1","1","0","0","0"
"SkyboxBlueSky_BK2","1","1","0","0","0"
"SkyboxBlueSky_FR","1","1","0","0","0"
"SkyboxBlueSky_FR2","1","1","0","0","0"
"SkyboxBlueSky_LF","1","1","0","0","0"
"SkyboxBlueSky_LF2","1","1","0","0","0"
"SkyboxBlueSky_RT","1","1","0","0","0"
"SkyboxBlueSky_RT2","1","1","0","0","0"
"SkyboxStormy_BK","1","1","0","0","0"
"SkyboxStormy_BK2","1","1","0","0","0"
"SkyboxStormy_FR2","1","1","0","0","0"
"SkyboxStormy_LF2","1","1","0","0","0"
"SkyboxStormy_RT","1","1","0","0","0"
"SkyboxStormy_RT2","1","1","0","0","0"
"SkyboxSunset_BK2","1","1","0","0","0"
"SkyboxSunset_FR","1","1","0","0","0"
"SkyboxSunset_FR2","1","1","0","0","0"
"SkyboxSunset_LF2","1","1","0","0","0"
"SkyboxSunset_RT","1","1","0","0","0"
"SkyboxSunset_RT2","1","1","0","0","0"
"SkyboxWinter_BK","1","1","0","0","0"
"SkyboxWinter_BK2","1","1","0","0","0"
"SkyboxWinter_FR2","1","1","0","0","0"
"SkyboxWinter_LF","1","1","0","0","0"
"SkyboxWinter_LF2","1","1","0","0","0"
"SkyboxWinter_RT","1","1","0","0","0"
"SkyboxWinter_RT2","1","1","0","0","0"
"SPC X Gaia Tree","4","4","0","0","0"
"SPC X Gaia Tree shadow","3","3","0","0","0"
"Special A Snowman","1","1","0","0","0"
"special c azure dragon","5","0","5","0","0"
"special c azure dragon head","5","5","0","0","0"
"special c dragon turtle","6","0","6","0","0"
"special c dragon turtle head","6","6","0","0","0"
"special c earth dragon","4","0","4","0","0"
"special c earth dragon b","4","4","0","0","0"
"special c jiangshi","5","0","5","0","0"
"special c jiangshi head","1","0","1","0","0"
"special c monkey king","6","0","6","0","0"
"Special C Pixiu","7","0","7","0","0"
"special c qilin","18","9","9","0","0"
"special c salamander","11","0","11","0","0"
"special c terracotta soldier","6","0","6","0","0"
"special c terracotta soldier head","1","1","0","0","0"
"special c vermillion bird","5","0","5","0","0"
"special c vermillion bird wing","5","0","5","0","0"
"special c vermillion bird wing alpha","5","5","0","0","0"
"Special E Anubite","7","3","4","0","0"
"Special E Apep map","10","5","5","0","0"
"Special E Avenger","56","38","8","10","0"
"Special E Leviathan map","48","32","13","3","0"
"Special E Minion map","43","22","21","0","0"
"Special E Mummy map","60","40","8","12","0"
"Special E Petesuchos","32","16","14","2","0"
"Special E Petesuchos Arrow","2","2","0","0","0"
"Special E Pharaoh","53","26","27","0","0"
"Special E Pharaoh Head","52","26","26","0","0"
"Special E Phoenix","12","8","4","0","0"
"Special E Phoenix Egg","6","3","3","0","0"
"Special E Priest","38","19","17","2","0"
"Special E Priest Head","16","16","0","0","0"
"Special E Priest Staff","37","37","0","0","0"
"Special E Roc","42","28","9","5","0"
"Special E Roc Basket","23","12","11","0","0"
"Special E Scarab map","27","14","12","1","0"
"Special E Scorpion Man","35","18","8","9","0"
"Special E Scorpion Man Head","18","18","0","0","0"
"Special E Sphinx","40","20","9","11","0"
"Special E Vulture map","12","8","4","0","0"
"Special E Wadjet","42","28","12","2","0"
"Special G Agamemnon","39","19","9","11","0"
"Special G Agamemnon Head","39","39","0","0","0"
"Special G Athena","16","8","8","0","0"
"Special G Athena Head","8","8","0","0","0"
"Special G Carcinos","32","16","14","2","0"
"Special G Centaur","20","10","9","1","0"
"Special G Centaur Head","1","1","0","0","0"
"Special G Centaur Head upgrade","1","1","0","0","0"
"Special G Centaur Low","20","10","0","10","0"
"Special G Chimera","32","16","7","9","0"
"Special G Chimera map","2","1","1","0","0"
"Special G Chimera Tail","15","8","6","1","0"
"Special G Colossus map","41","20","10","11","0"
"special g colossus sword","18","18","0","0","0"
"Special G Cyclops","40","20","9","11","0"
"Special G Cyclops map","5","2","3","0","0"
"Special G Giant Turtle","2","1","1","0","0"
"Special G Golem map","6","0","6","0","0"
"Special G Griffon map","13","7","6","0","0"
"Special G Harpy map","16","8","8","0","0"
"Special G Hippocampus","18","6","5","7","0"
"Special G Hydra Land","124","62","62","0","0"
"Special G Hydra Statue","1","1","0","0","0"
"Special G Manticore","28","14","12","2","0"
"Special G Manticore Barbs","1","1","0","0","0"
"Special G Manticore Statue","1","1","0","0","0"
"Special G Manticore Wing","14","14","0","0","0"
"Special G Manticore Wing statue","1","1","0","0","0"
"Special G Medusa","39","21","16","2","0"
"Special G Minotaur","51","26","11","14","0"
"Special G Nemean Lion","39","20","19","0","0"
"Special G Nemean Lion Statue","1","1","0","0","0"
"Special G Pegasus","27","27","0","0","0"
"Special G Pegasus Wings","52","27","25","0","0"
"Special G Polyphemus map","47","24","11","12","0"
"Special G Scylla","124","62","26","36","0"
"Special G Sea Turtle","32","16","15","1","0"
"Special G Shade","33","20","5","8","0"
"Special G Underworld Shade","34","34","0","0","0"
"Special N Battle Boar","56","28","27","1","0"
"Special N Einheriar","16","9","7","0","0"
"Special N Einheriar Axe Standard","2","2","0","0","0"
"Special N Einheriar Head","17","17","0","0","0"
"Special N Einheriar Horn","9","9","0","0","0"
"Special N Einheriar Low","27","18","0","9","0"
"Special N Fenris","40","20","18","2","0"
"Special N Fire Giant","34","17","8","9","0"
"Special N Fire Giant map","5","4","1","0","0"
"Special N Frost Giant","46","23","12","11","0"
"Special N Frost Giant Head","4","4","0","0","0"
"Special N Frost Giant Head Upgrade","2","2","0","0","0"
"Special N Giant","49","25","13","11","0"
"Special N Giant Head","24","24","0","0","0"
"Special N Giant map","12","12","0","0","0"
"Special N Jarl Cape map","23","11","12","0","0"
"Special N Jormund Brood","8","4","4","0","0"
"Special N King Folstag","14","14","0","0","0"
"Special N King Folstag Upgrade","30","15","15","0","0"
"Special N Raven","23","16","4","3","0"
"Special N Troll","41","21","10","10","0"
"Special N Troll Bag","18","0","18","0","0"
"Special N Trollkarien Map","1","1","0","0","0"
"Special N Valkyrie Hoarse map","1","1","0","0","0"
"Special N Valkyrie Horse map","10","10","0","0","0"
"Special N Valkyrie Horse map Statue","1","1","0","0","0"
"Special N Valkyrie Low","20","10","0","10","0"
"Special N Valkyrie map","22","11","10","1","0"
"Special N Valkyrie staute map","1","1","0","0","0"
"Special X Oracle","40","20","20","0","0"
"Special X Oracle Hero","47","23","24","0","0"
"Special X Spider body","3","3","0","0","0"
"special X Spider door","2","2","0","0","0"
"Stalagmite_A","3","3","0","0","0"
"Stalagmite_B","3","3","0","0","0"
"Statue X Gaia Map","4","2","2","0","0"
"Statue X Kronos Map","2","2","0","0","0"
"Statue X Oranos Map","4","2","2","0","0"
"Temp Santa Body","2","1","1","0","0"
"temp santa hat","2","2","0","0","0"
"Temp Santa Head","2","2","0","0","0"
"terrain e lily pads","2","2","0","0","0"
"terrain e lily pads b","2","2","0","0","0"
"terrain e lily pads c","2","2","0","0","0"
"terrain e papyrus","1","1","0","0","0"
"terrain e papyrus b","1","1","0","0","0"
"terrain e papyrus leaf","1","1","0","0","0"
"Terrain_E_WaterReeds_Mapa","1","1","0","0","0"
"Terrain_E_WaterReeds_Mapb","1","1","0","0","0"
"Test Flags","15","0","15","0","0"
"textflare","4","4","0","0","0"
"Theocrat Map","2","1","1","0","0"
"Theocrat Map(pixelxform1)","1","0","1","0","1"
"Titan E Ra Map","3","3","0","0","0"
"Titan E Ra Pads Map","2","0","2","0","0"
"Titan E Ra Skirt Map","4","2","2","0","0"
"Titan G Cerebus Map1","2","1","1","0","0"
"Titan G Cerebus Map2","2","1","1","0","0"
"Titan N Troll Hammer Map","1","1","0","0","0"
"Titan N Troll Map1","1","1","0","0","0"
"Titan N Troll Map2","2","1","1","0","0"
"Titan X Gaia","6","4","2","0","0"
"Titan X Golem Map1","2","1","1","0","0"
"Titan X Golem Map2","1","1","0","0","0"
"Titan X Kronos","1","0","1","0","0"
"Titan X Promethean 1","5","2","3","0","0"
"Titan X Promethean 2","3","3","0","0","0"
"tool_hammer","6","6","0","0","0"
"tool_saw","6","6","0","0","0"
"trade c caravan","8","0","8","0","0"
"trade c caravan cargo","4","0","4","0","0"
"Trade E Caravan Basket","44","22","22","0","0"
"Trade E Caravan Camel","43","22","21","0","0"
"Trade E Caravan Cargo","16","5","11","0","0"
"Trade G Caravan Cargo","20","10","10","0","0"
"Trade G Caravan Cart","1","1","0","0","0"
"Trade G Caravan Donkey","20","10","10","0","0"
"Trade N Caravan Cargo","20","10","8","2","0"
"Trade N Caravan Cart","1","1","0","0","0"
"Trade N Caravan Ox","52","26","22","4","0"
"Trade X Caravan","19","9","10","0","0"
"Trade X Caravan Cargo","10","5","5","0","0"
"UI Garrison Pips","4","0","0","4","0"
"UI Hitpoint Bars","3","0","0","3","0"
"ui_banners atlantean","7","7","0","0","0"
"ui_banners atlantean2","5","5","0","0","0"
"UI_Banners Egypt","26","26","0","0","0"
"UI_Banners Egypt2","19","19","0","0","0"
"UI_Banners Greek","13","13","0","0","0"
"UI_Banners Greek2","17","17","0","0","0"
"UI_Banners Norse","27","27","0","0","0"
"UI_Banners Norse2","18","18","0","0","0"
"ui_banners selected atlantean","8","8","0","0","0"
"ui_banners selected atlantean2","5","5","0","0","0"
"UI_Banners Selected Egypt","19","19","0","0","0"
"UI_Banners Selected Egypt2","14","14","0","0","0"
"UI_Banners Selected Greek","34","34","0","0","0"
"UI_Banners Selected Greek2","16","16","0","0","0"
"UI_Banners Selected Norse","19","19","0","0","0"
"UI_Banners Selected Norse2","16","16","0","0","0"
"villager c female","17","0","17","0","0"
"villager c male head","1","1","0","0","0"
"villager c male standard","17","0","17","0","0"
"Villager E Female","43","21","20","2","0"
"Villager E Female Head","22","22","0","0","0"
"Villager E Male Head","27","27","0","0","0"
"Villager E Male Standard","52","26","25","1","0"
"Villager E Villager map","1","1","0","0","0"
"Villager G Atlantean Male","41","21","20","0","0"
"Villager G Atlantean Male Head","21","21","0","0","0"
"Villager G Female","55","28","25","2","0"
"Villager G Female Head","28","28","0","0","0"
"Villager G Male Head","53","52","1","0","0"
"Villager G Male Standard","86","43","41","2","0"
"Villager G Villager map","5","5","0","0","0"
"Villager N Dwarf Head","23","23","0","0","0"
"Villager N Dwarf Standard","43","22","19","2","0"
"Villager N Female","40","21","17","2","0"
"Villager N Female Head","22","22","0","0","0"
"Villager N Male Head","22","22","0","0","0"
"Villager N Male Standard","44","22","21","1","0"
"Villager N Ox","20","10","0","10","0"
"Villager N Oxcart","20","10","10","0","0"
"Villager X Crate Empty","111","111","0","0","0"
"Villager X Crate Farm","8","8","0","0","0"
"Villager X Crate Gold","3","3","0","0","0"
"Villager X Crate Hunt","4","4","0","0","0"
"Villager X Crate Wood","8","8","0","0","0"
"Villager X Female","68","35","33","0","0"
"Villager X Male","67","33","34","0","0"
"Villager X Pony","202","135","67","0","0"
"wave crest","2","2","0","0","0"
"wave crest2","2","2","0","0","0"
"Waypoint","2","1","1","0","0"
"wood_brace","4","4","0","0","0"
"World A Atlantis","2","2","0","0","0"
"World A Atlantis Walls map","4","4","0","0","0"
"World A AtlantisB","2","2","0","0","0"
"World A AtlantisC","2","2","0","0","0"
"world a avalanche","2","2","0","0","0"
"World A Barrels Map","8","8","0","0","0"
"World A Berries","1","1","0","0","0"
"World A Bouy","2","0","2","0","0"
"world a breastplate map","11","11","0","0","0"
"World A Bridge Wood","9","9","0","0","0"
"World A Bush","4","4","0","0","0"
"World A Bush Short map","1","1","0","0","0"
"World A Campfire","4","4","0","0","0"
"World A DigSite","10","10","0","0","0"
"world a excavation sword","10","10","0","0","0"
"World A Farm Ground map","1","1","0","0","0"
"World A Farm Plants map","2","2","0","0","0"
"World A Fence Stone","4","4","0","0","0"
"World A Fence Wood","4","4","0","0","0"
"World A Firewood","8","8","0","0","0"
"World A Flowers","5","5","0","0","0"
"World A Fountain","3","3","0","0","0"
"World A Gold Bin","10","10","0","0","0"
"World A Gold map","11","11","0","0","0"
"World A Grass map","10","10","0","0","0"
"World A Iron Fence","1","1","0","0","0"
"World A Jade map","4","4","0","0","0"
"World A Papyrus","1","1","0","0","0"
"World A Props 1","16","16","0","0","0"
"World A Raft","2","2","0","0","0"
"World A Reeds map","13","13","0","0","0"
"World A Relic Arrows of the Alfar","1","1","0","0","0"
"World A Relic Eye of Horus","1","1","0","0","0"
"World A Relic Fetters of Fenrir","1","1","0","0","0"
"World A Relic Golden Bridle of Pegasus","1","1","0","0","0"
"World A Relic Head of Orpheus","1","1","0","0","0"
"World A Relic Kithara of Apollo","1","1","0","0","0"
"World A Relic Monkey","1","1","0","0","0"
"World A Relic Ring of the Nibelung","1","1","0","0","0"
"World A Relic Ship of Fingernails","1","1","0","0","0"
"World A Relic Standard","1","1","0","0","0"
"World A Relic The Wedjat Eye","1","1","0","0","0"
"World A RiverRocks map","5","5","0","0","0"
"World A Roasting Pig","2","2","0","0","0"
"World A Rocks map","66","66","0","0","0"
"world a rocks map2","18","18","0","0","0"
"World A Rocks Underworld","10","10","0","0","0"
"World A RottedLog","1","1","0","0","0"
"World A RottingLog","1","1","0","0","0"
"world a seaweed","1","1","0","0","0"
"World A Sign","3","3","0","0","0"
"World A Skeleton","4","4","0","0","0"
"World A Stalagmite","4","4","0","0","0"
"World A Stone Blocks","2","2","0","0","0"
"World A Tamarisk branch","2","2","0","0","0"
"World A Tamarisk Tree","5","5","0","0","0"
"World A Tamarisk Tree leaf","5","5","0","0","0"
"World A Tamarisk Tree Light Wood","4","4","0","0","0"
"World A Tanrack","4","4","0","0","0"
"World A Taproot Insides","2","2","0","0","0"
"World A Taproot Large","7","7","0","0","0"
"world a tsunami range indicator","1","1","0","0","0"
"World A Underworld Crator","1","1","0","0","0"
"World A Underworld Passage Color Transform","3","0","3","0","0"
"World A Underworld Passage Crator","3","3","0","0","0"
"World A Underworld Passage Rock","3","3","0","0","0"
"World A Underworld Rock","8","8","0","0","0"
"World A Waterfall blue water","1","1","0","0","0"
"World A Waterfall rocks limestone","1","1","0","0","0"
"World A Waterfall top water","1","1","0","0","0"
"World A Waterfall white water","1","1","0","0","0"
"World A Waypoint Flag","1","0","1","0","0"
"world c bamboo tree","13","13","0","0","0"
"world c dam","4","4","0","0","0"
"world c flag","1","0","1","0","0"
"world c jungle palm","12","12","0","0","0"
"world c jungle palm burnt","5","5","0","0","0"
"world c jungle tree","6","6","0","0","0"
