"Texture","CT4Count","AlsoCT0","PixelXForm","NoAlphaTest","BTI_AlphaBits","BTI_Format","TGA_AlphaType","OpaqueCoveragePct","CoverageGroup"
"SFX A Carnivora Water","9","True","False","False","1","BC3","","",""
"SFX A Healing Spring Stone","1","True","False","True","1","BC3","MultiValue","6.729","0-10%"
"SFX A Serpent","7","True","False","True","1","BC3","MultiValue","6.372","0-10%"
"SFX A Walking Woods","11","True","False","True","1","BC3","MultiValue","3.967","0-10%"
"SFX E Ancestors Water","11","True","False","False","1","BC3","","",""
"SFX E Citadel","3","True","False","True","1","BC3","Binary","4.276","0-10%"
"SFX E Citadel Age4","3","True","False","True","1","BC3","Binary","4.276","0-10%"
"SFX E Serpents Water","11","True","False","False","0","BC3","","",""
"SFX E Son of Osiris","11","True","False","True","1","BC3","MultiValue","31.714","25-50%"
"SFX G Animal Magnetism","3","True","False","True","1","BC3","MultiValue","2.344","0-10%"
"SFX G Plenty","4","True","False","True","1","BC3","Binary","2.107","0-10%"
"SFX G Sentinel","5","True","False","True","1","BC3","Binary","10.535","10-25%"
"SFX N Nidhogg","12","True","False","False","1","BC3","","",""
"siege c fire lance","5","False","False","True","4","BC3","MultiValue","24.243","10-25%"
"siege c fire lance head","1","False","False","True","4","BC3","MultiValue","3.906","0-10%"
"Siege C Sitting Tiger","6","False","False","True","4","BC3","Binary","5.981","0-10%"
"Siege E Catapult","6","True","False","True","1","BC3","Binary","6.616","0-10%"
"Siege E Tower","7","True","False","False","1","BC3","","",""
"Siege G Helepolis","3","True","False","True","1","BC3","MultiValue","3.366","0-10%"
"Siege G Petrobolos","7","True","False","True","1","BC3","Binary","5.615","0-10%"
"Siege G Petrobolos Iron","1","True","False","True","1","BC3","Binary","5.615","0-10%"
"Siege N Ballista","5","True","False","True","1","BC3","Binary","4.126","0-10%"
"Siege N Ballista Bolt","13","True","False","True","1","BC3","Binary","8.594","0-10%"
"Siege N Ballista Bolt Iron","1","True","False","True","1","BC3","Binary","8.594","0-10%"
"Siege N Ram","7","True","False","True","1","BC3","MultiValue","5.548","0-10%"
"Siege N Ram Carrier Shield","1","False","False","False","","","","",""
"Siege N Ram Iron","8","True","False","True","1","BC3","MultiValue","5.548","0-10%"
"Siege X Chieroballista","17","True","False","True","1","BC3","MultiValue","4.297","0-10%"
"Siege X Chieroballista Man","12","True","False","True","1","BC3","MultiValue","18.042","10-25%"
"Siege X Fire Siphon","11","True","False","True","1","BC3","MultiValue","2.417","0-10%"
"Siege X Onager","4","False","False","True","4","BC3","MultiValue","2.979","0-10%"
"special c azure dragon","5","False","False","True","4","BC3","MultiValue","14.825","10-25%"
"special c dragon turtle","6","False","False","True","4","BC3","MultiValue","5.861","0-10%"
"special c earth dragon","4","False","False","True","4","BC3","MultiValue","33.531","25-50%"
"special c jiangshi","5","False","False","True","4","BC3","MultiValue","57.91","50-75%"
"special c jiangshi head","1","False","False","True","4","BC3","MultiValue","21.484","10-25%"
"special c monkey king","6","False","False","True","4","BC3","MultiValue","16.342","10-25%"
"Special C Pixiu","7","False","False","True","4","BC3","MultiValue","6.004","0-10%"
"special c qilin","9","True","False","False","","","","",""
"special c salamander","11","False","False","True","4","BC3","MultiValue","2.606","0-10%"
"special c terracotta soldier","6","False","False","True","4","BC3","MultiValue","11.621","10-25%"
"special c vermillion bird","5","False","False","True","4","BC3","MultiValue","1.988","0-10%"
"special c vermillion bird wing","5","False","False","True","4","BC3","MultiValue","7.178","0-10%"
"Special E Anubite","4","True","False","True","1","BC3","MultiValue","28.827","25-50%"
"Special E Apep map","5","True","False","True","1","BC3","MultiValue","9.174","0-10%"
"Special E Avenger","8","True","False","False","0","BC3","","",""
"Special E Leviathan map","13","True","False","False","1","BC3","","",""
"Special E Minion map","21","True","False","False","1","BC3","","",""
"Special E Mummy map","8","True","False","True","1","BC3","MultiValue","1.099","0-10%"
"Special E Petesuchos","14","True","False","True","1","BC3","Binary","4.37","0-10%"
"Special E Pharaoh","27","True","False","True","1","BC3","MultiValue","6.323","0-10%"
"Special E Pharaoh Head","26","True","False","True","1","BC3","MultiValue","25.293","25-50%"
"Special E Phoenix","4","True","False","True","0","BC3","Binary","100","75-100%"
"Special E Phoenix Egg","3","True","False","True","1","BC3","Binary","12.5","10-25%"
"Special E Priest","17","True","False","True","1","BC3","MultiValue","20.068","10-25%"
"Special E Roc","9","True","False","True","1","BC3","Binary","0","0-10%"
"Special E Roc Basket","11","True","False","True","1","BC3","Binary","3.754","0-10%"
"Special E Scarab map","12","True","False","True","1","BC3","MultiValue","2.057","0-10%"
"Special E Scorpion Man","8","True","False","True","1","BC3","MultiValue","9.241","0-10%"
"Special E Sphinx","9","True","False","True","1","BC3","MultiValue","5.499","0-10%"
"Special E Vulture map","4","True","False","False","1","BC3","","",""
"Special E Wadjet","12","True","False","True","1","BC3","MultiValue","69.495","50-75%"
"Special G Agamemnon","9","True","False","True","1","BC3","MultiValue","11.45","10-25%"
"Special G Athena","8","True","False","True","1","BC3","MultiValue","7.007","0-10%"
"Special G Carcinos","14","True","False","True","1","BC3","MultiValue","3.424","0-10%"
"Special G Centaur","9","True","False","True","1","BC3","Binary","4.639","0-10%"
"Special G Chimera","7","True","False","True","1","BC3","MultiValue","1.099","0-10%"
"Special G Chimera map","1","True","False","True","1","BC3","MultiValue","7.129","0-10%"
"Special G Chimera Tail","6","True","False","True","1","BC3","MultiValue","14.6","10-25%"
"Special G Colossus map","10","True","False","True","1","BC3","MultiValue","14.728","10-25%"
"Special G Cyclops","9","True","False","True","1","BC3","Binary","4.785","0-10%"
"Special G Cyclops map","3","True","False","True","1","BC3","MultiValue","4.138","0-10%"
"Special G Giant Turtle","1","True","False","True","4","BC3","MultiValue","0","0-10%"
"Special G Golem map","6","False","False","True","1","BC3","MultiValue","4.024","0-10%"
"Special G Griffon map","6","True","False","False","","","","",""
"Special G Harpy map","8","True","False","False","1","BC3","","",""
"Special G Hippocampus","5","True","False","True","1","BC3","MultiValue","36.346","25-50%"
"Special G Hydra Land","62","True","False","True","1","BC3","MultiValue","2.126","0-10%"
"Special G Manticore","12","True","False","True","1","BC3","MultiValue","3.955","0-10%"
"Special G Medusa","16","True","False","True","1","BC3","MultiValue","67.932","50-75%"
"Special G Minotaur","11","True","False","True","1","BC3","MultiValue","9.07","0-10%"
"Special G Nemean Lion","19","True","False","True","1","BC3","MultiValue","1.361","0-10%"
"Special G Pegasus Wings","25","True","False","True","4","BC3","MultiValue","0","0-10%"
"Special G Polyphemus map","11","True","False","False","0","BC3","","",""
"Special G Scylla","26","True","False","True","1","BC3","MultiValue","16.261","10-25%"
"Special G Sea Turtle","15","True","False","True","1","BC3","MultiValue","1.1","0-10%"
"Special G Shade","5","True","False","True","1","BC3","MultiValue","10.278","10-25%"
"Special N Battle Boar","27","True","False","True","1","BC3","MultiValue","5.548","0-10%"
"Special N Einheriar","7","True","False","True","1","BC3","Binary","13.428","10-25%"
"Special N Fenris","18","True","False","True","1","BC3","MultiValue","4.108","0-10%"
"Special N Fire Giant","8","True","False","True","1","BC3","MultiValue","7.648","0-10%"
"Special N Fire Giant map","1","True","False","False","","","","",""
"Special N Frost Giant","12","True","False","True","1","BC3","MultiValue","5.255","0-10%"
"Special N Giant","13","True","False","True","1","BC3","MultiValue","3.497","0-10%"
"Special N Jarl Cape map","12","True","False","True","1","BC3","MultiValue","10.547","10-25%"
"Special N Jormund Brood","4","True","False","True","1","BC3","MultiValue","14.044","10-25%"
"Special N King Folstag Upgrade","15","True","False","True","1","BC3","MultiValue","5.255","0-10%"
"Special N Raven","4","True","False","True","1","BC3","Binary","13.672","10-25%"
"Special N Troll","10","True","False","True","1","BC3","MultiValue","6.592","0-10%"
"Special N Troll Bag","18","False","False","True","1","BC3","MultiValue","9.912","0-10%"
"Special N Valkyrie map","10","True","False","True","1","BC3","MultiValue","21.033","10-25%"
"Special X Oracle","20","True","False","True","1","BC3","MultiValue","20.679","10-25%"
"Special X Oracle Hero","24","True","False","True","1","BC3","MultiValue","20.679","10-25%"
"Statue X Gaia Map","2","True","False","True","1","BC3","MultiValue","5.255","0-10%"
"Statue X Oranos Map","2","True","False","True","1","BC3","Binary","2.863","0-10%"
"Temp Santa Body","1","True","False","True","1","BC3","MultiValue","3.497","0-10%"
"Test Flags","15","False","False","True","1","BC3","MultiValue","78.54","75-100%"
"Theocrat Map","1","True","False","True","1","BC3","MultiValue","7.521","0-10%"
"Theocrat Map(pixelxform1)","1","False","True","False","","","","",""
"Titan E Ra Pads Map","2","False","False","True","4","BC3","MultiValue","0","0-10%"
"Titan E Ra Skirt Map","2","True","False","True","4","BC3","MultiValue","0","0-10%"
"Titan G Cerebus Map1","1","True","False","True","1","BC3","MultiValue","4.501","0-10%"
"Titan G Cerebus Map2","1","True","False","True","1","BC3","MultiValue","1.604","0-10%"
"Titan N Troll Map2","1","True","False","True","1","BC3","MultiValue","4.941","0-10%"
"Titan X Gaia","2","True","False","True","4","BC3","MultiValue","0","0-10%"
"Titan X Golem Map1","1","True","False","True","4","BC3","MultiValue","0","0-10%"
"Titan X Kronos","1","False","False","True","1","BC3","MultiValue","0.89","0-10%"
"Titan X Promethean 1","3","True","False","True","1","BC3","MultiValue","7.755","0-10%"
"trade c caravan","8","False","False","False","0","DeflatedRGB8","Binary","0","0-10%"
"trade c caravan cargo","4","False","False","True","4","BC3","MultiValue","3.955","0-10%"
"Trade E Caravan Basket","22","True","False","True","1","BC3","Binary","9.015","0-10%"
"Trade E Caravan Camel","21","True","False","True","1","BC3","MultiValue","6.042","0-10%"
"Trade E Caravan Cargo","11","True","False","True","1","BC3","Binary","0","0-10%"
"Trade G Caravan Cargo","10","True","False","True","1","BC3","Binary","5.908","0-10%"
"Trade G Caravan Donkey","10","True","False","True","1","BC3","MultiValue","10.718","10-25%"
"Trade N Caravan Cargo","8","True","False","True","1","BC3","MultiValue","6.238","0-10%"
"Trade N Caravan Ox","22","True","False","True","1","BC3","MultiValue","8.246","0-10%"
"Trade X Caravan","10","True","False","True","1","BC3","MultiValue","13.184","10-25%"
"Trade X Caravan Cargo","5","True","False","False","0","BC3","","",""
"villager c female","17","False","False","True","4","BC3","MultiValue","50.017","50-75%"
"villager c male standard","17","False","False","True","4","BC3","MultiValue","39.185","25-50%"
"Villager E Female","20","True","False","True","1","BC3","MultiValue","48.999","25-50%"
"Villager E Male Standard","25","True","False","True","1","BC3","MultiValue","12.085","10-25%"
"Villager G Atlantean Male","20","True","False","True","1","BC3","MultiValue","31.616","25-50%"
"Villager G Female","25","True","False","True","1","BC3","MultiValue","52.832","50-75%"
"Villager G Male Head","1","True","False","False","0","BC3","","",""
"Villager G Male Standard","41","True","False","True","1","BC3","MultiValue","42.725","25-50%"
"Villager N Dwarf Standard","19","True","False","False","0","BC3","","",""
"Villager N Female","17","True","False","True","1","BC3","MultiValue","15.186","10-25%"
"Villager N Male Standard","21","True","False","True","1","BC3","MultiValue","27.832","25-50%"
"Villager N Oxcart","10","True","False","True","1","BC3","Binary","1.794","0-10%"
"Villager X Female","33","True","False","True","1","BC3","MultiValue","22.803","10-25%"
"Villager X Male","34","True","False","True","1","BC3","MultiValue","21.582","10-25%"
"Villager X Pony","67","True","False","True","1","BC3","MultiValue","10.62","10-25%"
"Waypoint","1","True","False","True","1","BC3","MultiValue","44.409","25-50%"
"World A Bouy","2","False","False","True","1","BC3","Binary","22.656","10-25%"
"World A Underworld Passage Color Transform","3","False","False","True","1","BC3","MultiValue","13.965","10-25%"
"World A Waypoint Flag","1","False","False","True","1","BC3","Binary","25","10-25%"
"world c flag","1","False","False","False","0","DeflatedRGBA8","","",""
"world c statue fuxi","1","False","False","False","0","BC3","","",""
"world c statue fuxi head","1","False","False","False","0","BC3","","",""
"world c statue nuwa","1","False","False","True","4","BC3","MultiValue","5.658","0-10%"
"world c statue nuwa stand","3","False","False","True","4","BC3","Binary","3.125","0-10%"
"world c statue shennong","1","False","False","True","4","BC3","MultiValue","4.443","0-10%"
"world c statue shennong head","1","False","False","True","4","BC3","Binary","0","0-10%"
"World E Flag","3","True","False","False","1","BC3","","",""
"World E Garrison Flag","1","True","False","True","1","BC3","MultiValue","67.236","50-75%"
"World E Statue Isis","7","True","False","True","1","BC3","Binary","1.752","0-10%"
"World E Statue Ra","3","True","False","True","1","BC3","Binary","15.906","10-25%"
"World E Statue Set","3","True","False","True","1","BC3","MultiValue","1.599","0-10%"
"World G Flag","3","True","False","False","1","BC3","","",""
"World G Garrison Flag","1","True","False","True","1","BC3","Binary","47.461","25-50%"
"World G Hades Temple","2","True","False","True","1","BC3","Binary","1.672","0-10%"
"World G Statue Hades","3","True","False","True","1","BC3","Binary","1.941","0-10%"
"World G Statue Poseidon","12","True","False","True","1","BC3","MultiValue","4.333","0-10%"
"World G Statue Poseidon Base","1","True","False","True","1","BC3","Binary","0","0-10%"
"World G Statue Zeus","3","True","False","True","1","BC3","Binary","3.381","0-10%"
"World G Tent","2","True","False","True","1","BC3","MultiValue","5.273","0-10%"
"World N Flag","3","True","False","False","1","BC3","","",""
"World N Garrison Flag","1","True","False","True","1","BC3","MultiValue","66.504","50-75%"
"World N Statue Loki","3","True","False","True","1","BC3","MultiValue","2.814","0-10%"
"World N Statue Odin","6","True","False","True","1","BC3","MultiValue","1.971","0-10%"
"World N Statue Thor","3","True","False","True","1","BC3","MultiValue","2.643","0-10%"
"World N Tent","1","True","False","True","1","BC3","MultiValue","1.007","0-10%"
