"Filename","Category","Width","Height","BTI_AlphaBits","BTI_Format","TGA_AlphaType","TGA_AlphaValues","OpaqueCoveragePct","CoverageGroup"
"building c titan gate door map.tga","","128","128","1","BC3","MultiValue","135","10.266","10-25%"
"special g shade.tga","","64","64","1","BC3","MultiValue","3","10.278","10-25%"
"special n jarl cape map.tga","","32","32","1","BC3","MultiValue","3","10.547","10-25%"
"trash weapon.tga","","128","64","1","BC3","MultiValue","3","10.559","10-25%"
"cavalry g hippikon horse bronze.tga","","128","128","1","BC3","MultiValue","3","10.583","10-25%"
"cavalry g hippikon horse iron.tga","","128","128","1","BC3","MultiValue","3","10.583","10-25%"
"cavalry g prodromos horse bronze.tga","","128","128","1","BC3","MultiValue","3","10.583","10-25%"
"cavalry g prodromos horse iron.tga","","128","128","1","BC3","MultiValue","3","10.583","10-25%"
"villager x pony.tga","","64","64","1","BC3","MultiValue","3","10.62","10-25%"
"trade g caravan donkey.tga","","64","64","1","BC3","MultiValue","3","10.718","10-25%"
"archer n normal bronze.tga","","64","64","1","BC3","MultiValue","41","10.767","10-25%"
"archer n normal copper.tga","","64","64","1","BC3","MultiValue","41","10.767","10-25%"
"archer n normal iron.tga","","64","64","1","BC3","MultiValue","41","10.767","10-25%"
"infantry n bondi bronze.tga","","64","64","1","BC3","MultiValue","41","10.767","10-25%"
"infantry n bondi copper.tga","","64","64","1","BC3","MultiValue","41","10.767","10-25%"
"infantry n bondi iron.tga","","64","64","1","BC3","MultiValue","41","10.767","10-25%"
"infantry e mercenary.tga","","64","64","1","BC3","MultiValue","3","10.84","10-25%"
"cine x kastor adult.tga","","256","256","1","BC3","MultiValue","3","10.884","10-25%"
"sfx meteorite splat decal.tga","","128","128","1","BC3","MultiValue","3","11.09","10-25%"
"infantry x 2 sword fighter hero.tga","","64","64","1","BC3","MultiValue","3","11.182","10-25%"
"infantry x 2 sword fighter iron.tga","","64","64","1","BC3","MultiValue","3","11.182","10-25%"
"special g agamemnon.tga","","128","128","1","BC3","MultiValue","3","11.45","10-25%"
"attachments g shield bronze.tga","","128","64","1","BC3","MultiValue","3","11.56","10-25%"
"toxotemap.tga","","256","256","1","BC3","MultiValue","3","11.765","10-25%"
"cine g ajax map.tga","","256","256","1","BC3","MultiValue","3","11.865","10-25%"
"cine n huskarl cape.tga","","128","128","1","BC3","MultiValue","3","11.963","10-25%"
"villager e male standard.tga","","64","64","1","BC3","MultiValue","3","12.085","10-25%"
"hero g belerophon shield.tga","","64","32","1","BC3","MultiValue","3","12.109","10-25%"
"hero g bellerophon shield.tga","","64","32","1","BC3","MultiValue","3","12.109","10-25%"
"attachments x shield heavy.tga","","128","64","1","BC3","MultiValue","3","12.122","10-25%"
"mu x atlantean hundred giant map.tga","","128","128","1","BC3","MultiValue","3","12.238","10-25%"
"attachments x shield medium.tga","","128","64","1","BC3","MultiValue","3","12.476","10-25%"
"hero x kastor.tga","","64","64","1","BC3","MultiValue","3","12.5","10-25%"
"cavalry x javelin bronze.tga","","64","64","1","BC3","MultiValue","3","12.695","10-25%"
"cavalry x javelin hero.tga","","64","64","1","BC3","MultiValue","3","12.695","10-25%"
"cavalry x javelin iron.tga","","64","64","1","BC3","MultiValue","3","12.695","10-25%"
"attachments n shield iron.tga","","128","64","1","BC3","MultiValue","3","12.915","10-25%"
"cavalry e war elephant rider bronze.tga","","64","64","1","BC3","MultiValue","3","12.915","10-25%"
"cavalry e war elephant rider iron.tga","","64","64","1","BC3","MultiValue","3","12.915","10-25%"
"trade x caravan.tga","","64","64","1","BC3","MultiValue","3","13.184","10-25%"
"attachments a shields map.tga","","128","128","1","BC3","MultiValue","3","13.391","10-25%"
"attachments e shield iron.tga","","128","64","1","BC3","MultiValue","3","13.477","10-25%"
"cine x hp melagiusmap.tga","","256","256","1","BC3","MultiValue","3","13.495","10-25%"
"cine a brokk map.tga","","256","256","1","BC3","MultiValue","3","13.564","10-25%"
"cine a eitri map.tga","","256","256","1","BC3","MultiValue","3","13.564","10-25%"
"cavalry g hetairoi bronze.tga","","64","64","1","BC3","MultiValue","3","13.672","10-25%"
"cavalry g hetairoi copper.tga","","64","64","1","BC3","MultiValue","3","13.672","10-25%"
"infantry x trident soldier hero.tga","","64","64","1","BC3","MultiValue","3","13.721","10-25%"
"infantry x trident soldier iron.tga","","64","64","1","BC3","MultiValue","3","13.721","10-25%"
"mu x atlantean flying medic map.tga","","128","128","1","BC3","MultiValue","3","13.733","10-25%"
"mu x nereid rider map.tga","","128","128","1","BC3","MultiValue","3","13.733","10-25%"
"archer g crossbowman.tga","","64","64","1","BC3","MultiValue","3","13.794","10-25%"
"attachments e shield bronze.tga","","128","64","1","BC3","MultiValue","3","13.904","10-25%"
"attachments g shield iron.tga","","128","64","1","BC3","MultiValue","3","13.928","10-25%"
"world a underworld passage color transform.tga","","64","64","1","BC3","MultiValue","3","13.965","10-25%"
"attachments g shield copper.tga","","128","64","1","BC3","MultiValue","3","13.977","10-25%"
"special n jormund brood.tga","","128","128","1","BC3","MultiValue","3","14.044","10-25%"
"cine g chiron map.tga","","256","256","1","BC3","MultiValue","3","14.078","10-25%"
"cine g amanra map.tga","","256","256","1","BC3","MultiValue","3","14.149","10-25%"
"infantry x maceman bronze.tga","","64","64","1","BC3","MultiValue","3","14.282","10-25%"
"infantry x maceman copper.tga","","64","64","1","BC3","MultiValue","3","14.282","10-25%"
"infantry x maceman hero.tga","","64","64","1","BC3","MultiValue","3","14.282","10-25%"
"infantry x maceman iron.tga","","64","64","1","BC3","MultiValue","3","14.282","10-25%"
"infantry x maceman standard.tga","","64","64","1","BC3","MultiValue","3","14.282","10-25%"
"scenario g kastor map.tga","","64","64","1","BC3","MultiValue","3","14.355","10-25%"
"cine e setna.tga","","256","256","1","BC3","MultiValue","3","14.374","10-25%"
"special g chimera tail.tga","","64","64","1","BC3","MultiValue","3","14.6","10-25%"
"archer x bronze.tga","","64","64","1","BC3","MultiValue","3","14.673","10-25%"
"archer x copper.tga","","64","64","1","BC3","MultiValue","3","14.673","10-25%"
"archer x hero.tga","","64","64","1","BC3","MultiValue","3","14.673","10-25%"
"archer x iron.tga","","64","64","1","BC3","MultiValue","3","14.673","10-25%"
"archer x standard.tga","","64","64","1","BC3","MultiValue","3","14.673","10-25%"
"special g colossus map.tga","","128","128","1","BC3","MultiValue","3","14.728","10-25%"
"hero n ragnorok female.tga","","64","64","1","BC3","MultiValue","3","15.186","10-25%"
"villager n female.tga","","64","64","1","BC3","MultiValue","3","15.186","10-25%"
"trash.tga","","256","256","1","BC3","MultiValue","3","15.477","10-25%"
"cavalry g cataphract iron.tga","","64","64","1","BC3","MultiValue","3","15.479","10-25%"
"archer g peltast iron.tga","","64","64","1","BC3","MultiValue","3","15.747","10-25%"
"cine g amanra old map.tga","","256","256","1","BC3","MultiValue","3","15.768","10-25%"
"mu x automation map.tga","","64","64","1","BC3","MultiValue","3","15.845","10-25%"
"cine e axeman.tga","","256","256","1","BC3","MultiValue","3","15.874","10-25%"
"cine a arkantosman map.tga","","256","256","1","BC3","MultiValue","3","15.912","10-25%"
"greekheromap.tga","","256","256","1","BC3","MultiValue","3","16.008","10-25%"
"attachments e shield copper.tga","","128","64","1","BC3","MultiValue","3","16.052","10-25%"
"cine x hp arcusmap.tga","","256","256","1","BC3","MultiValue","3","16.083","10-25%"
"attachments n shield copper.tga","","128","64","1","BC3","MultiValue","3","16.162","10-25%"
"special g scylla.tga","","256","256","1","BC3","MultiValue","3","16.261","10-25%"
"hoplitemap.tga","","256","256","1","BC3","MultiValue","3","16.264","10-25%"
"archer g peltast low standard.tga","","32","32","1","BC3","MultiValue","3","16.309","10-25%"
"scenario e setna map.tga","","64","64","1","BC3","MultiValue","3","16.797","10-25%"
"scenario b amanra map.tga","","64","64","1","BC3","MultiValue","3","16.895","10-25%"
"archer e slinger iron.tga","","64","64","1","BC3","MultiValue","3","16.943","10-25%"
"g hypaspist highmodelmap.tga","","256","256","1","BC3","MultiValue","3","17.122","10-25%"
"infantry g hoplite copper.tga","","64","64","1","BC3","MultiValue","3","17.285","10-25%"
"attachments n shield bronze.tga","","128","64","1","BC3","MultiValue","3","17.346","10-25%"
"cine a arkantos map.tga","","256","256","1","BC3","MultiValue","3","17.513","10-25%"
"hero g achilles cape.tga","","64","32","1","BC3","MultiValue","18","17.627","10-25%"
"siege x chieroballista man upgrade.tga","","64","64","1","BC3","MultiValue","3","18.042","10-25%"
"siege x chieroballista man.tga","","64","64","1","BC3","MultiValue","3","18.042","10-25%"
"cavalry e camelry map.tga","","64","64","1","BC3","MultiValue","3","18.213","10-25%"
"cine e infantry map.tga","","256","256","1","BC3","MultiValue","3","18.271","10-25%"
"hero g perseus standard.tga","","64","64","1","BC3","MultiValue","3","18.53","10-25%"
"scenario c shun.tga","","128","128","1","BC3","MultiValue","98","18.701","10-25%"
"infantry g hoplite standard.tga","","64","64","1","BC3","MultiValue","3","19.189","10-25%"
"mu x atlantean lampedes map.tga","","128","128","1","BC3","MultiValue","3","19.464","10-25%"
"archer n throwing axeman iron.tga","","64","64","1","BC3","MultiValue","3","19.653","10-25%"
"special n valkyrie upgrade.tga","","64","64","1","BC3","MultiValue","3","19.824","10-25%"
"special e scarab map.tga","","128","128","1","BC3","MultiValue","3","2.057","0-10%"
"special g hydra land.tga","","256","256","1","BC3","MultiValue","3","2.126","0-10%"
"mu x behemoth map.tga","","256","256","1","BC3","MultiValue","3","2.277","0-10%"
"building x sky temple.tga","","256","256","1","BC3","MultiValue","3","2.344","0-10%"
"sfx g animal magnetism.tga","","128","128","1","BC3","MultiValue","3","2.344","0-10%"
"building n shared03 2 map.tga","","256","256","1","BC3","MultiValue","3","2.417","0-10%"
"siege x fire siphon upgrade.tga","","128","128","1","BC3","MultiValue","3","2.417","0-10%"
"siege x fire siphon.tga","","128","128","1","BC3","MultiValue","3","2.417","0-10%"
"cavalry x javelin horse hero.tga","","128","128","1","BC3","MultiValue","3","2.466","0-10%"
"cavalry x javelin horse iron.tga","","128","128","1","BC3","MultiValue","3","2.466","0-10%"
"cavalry g hetairoi horse iron.tga","","128","128","1","BC3","MultiValue","3","2.557","0-10%"
"animal goat map.tga","","64","64","1","BC3","MultiValue","3","2.612","0-10%"
"world n statue thor.tga","","128","128","1","BC3","MultiValue","3","2.643","0-10%"
"building n shared04 2 map.tga","","256","256","1","BC3","MultiValue","3","2.66","0-10%"
"siege n ballista map.tga","","256","256","1","BC3","MultiValue","3","2.707","0-10%"
"building e age1.tga","","256","256","1","BC3","MultiValue","3","2.762","0-10%"
"building e settlement age1.tga","","256","256","1","BC3","MultiValue","3","2.762","0-10%"
"world n statue loki.tga","","128","128","1","BC3","MultiValue","3","2.814","0-10%"
"hero g heracles shield.tga","","64","32","1","BC3","MultiValue","3","2.832","0-10%"
"cyclops high.tga","","256","256","1","BC3","MultiValue","3","2.855","0-10%"
"building n shared01 2 map.tga","","256","256","1","BC3","MultiValue","3","2.858","0-10%"
"building c accessories.tga","","256","256","1","BC3","MultiValue","95","2.884","0-10%"
"special e priest.tga","","64","64","1","BC3","MultiValue","3","20.068","10-25%"
"scenario x amanra map.tga","","64","64","1","BC3","MultiValue","3","20.63","10-25%"
"special x oracle hero.tga","","64","64","1","BC3","MultiValue","3","20.679","10-25%"
"special x oracle.tga","","64","64","1","BC3","MultiValue","3","20.679","10-25%"
"cavalry x lancer bronze.tga","","64","64","1","BC3","MultiValue","3","20.874","10-25%"
"cavalry x lancer copper.tga","","64","64","1","BC3","MultiValue","3","20.874","10-25%"
"cavalry x lancer iron.tga","","64","64","1","BC3","MultiValue","3","20.874","10-25%"
"cavalry x lancer standard.tga","","64","64","1","BC3","MultiValue","3","20.874","10-25%"
"scenario n brokk standard.tga","","64","64","1","BC3","MultiValue","3","20.874","10-25%"
"infantry g hoplite bronze.tga","","64","64","1","BC3","MultiValue","3","20.923","10-25%"
"special n valkyrie map.tga","","128","128","1","BC3","MultiValue","3","21.033","10-25%"
"cavalry g hippikon iron.tga","","64","64","1","BC3","MultiValue","3","21.191","10-25%"
"special e avenger map.tga","","128","128","1","BC3","MultiValue","3","21.24","10-25%"
"cavalry g hippikon bronze.tga","","64","64","1","BC3","MultiValue","3","21.411","10-25%"
"infantry g hoplite iron.tga","","64","64","1","BC3","MultiValue","3","21.484","10-25%"
"archer g toxotes bronze.tga","","64","64","1","BC3","MultiValue","3","21.533","10-25%"
"archer e slinger bronze.tga","","64","64","1","BC3","MultiValue","3","21.582","10-25%"
"villager x male hero.tga","","64","64","1","BC3","MultiValue","3","21.582","10-25%"
"villager x male.tga","","64","64","1","BC3","MultiValue","3","21.582","10-25%"
"infantry x trident soldier shield hero.tga","","32","64","1","BC3","MultiValue","3","21.68","10-25%"
"infantry x trident soldier shield iron.tga","","32","64","1","BC3","MultiValue","3","21.68","10-25%"
"cavalry n jarl standard.tga","","64","64","1","BC3","MultiValue","3","21.777","10-25%"
"archer e slinger copper.tga","","64","64","1","BC3","MultiValue","3","21.973","10-25%"
"scenario n eitri standard.tga","","64","64","1","BC3","MultiValue","3","22.217","10-25%"
"infantry n ulfsark scout.tga","","64","64","1","BC3","MultiValue","40","22.803","10-25%"
"villager x female hero.tga","","64","64","1","BC3","MultiValue","3","22.803","10-25%"
"villager x female.tga","","64","64","1","BC3","MultiValue","3","22.803","10-25%"
"hero x ajax.tga","","64","64","1","BC3","MultiValue","3","23.047","10-25%"
"cavalry g hetairoi iron.tga","","64","64","1","BC3","MultiValue","3","23.584","10-25%"
"archer g toxotes iron.tga","","64","64","1","BC3","MultiValue","3","24.292","10-25%"
"butterfly.tga","","32","32","1","BC3","MultiValue","3","24.609","10-25%"
"cine n hersir.tga","","256","256","1","BC3","MultiValue","3","24.651","10-25%"
"scenario g chiron map.tga","","64","64","1","BC3","MultiValue","3","24.756","10-25%"
"cine n ulfsark.tga","","256","256","1","BC3","MultiValue","3","24.792","10-25%"
"infantry e axeman bronze.tga","","64","64","1","BC3","MultiValue","3","24.829","10-25%"
"infantry e axeman iron.tga","","64","64","1","BC3","MultiValue","3","24.854","10-25%"
"infantry e axeman copper.tga","","64","64","1","BC3","MultiValue","3","24.976","10-25%"
"special e pharaoh head.tga","","64","32","1","BC3","MultiValue","3","25.293","25-50%"
"scenario g arkantos man map.tga","","128","128","1","BC3","MultiValue","3","25.61","25-50%"
"archer g peltast low bronze.tga","","32","32","1","BC3","MultiValue","3","25.977","25-50%"
"archer g peltast low iron.tga","","32","32","1","BC3","MultiValue","3","25.977","25-50%"
"hero n hero.tga","","128","128","1","BC3","MultiValue","3","26.245","25-50%"
"hero n hersir.tga","","128","128","1","BC3","MultiValue","3","26.245","25-50%"
"cavalry n raiding cavalry bronze.tga","","64","64","1","BC3","MultiValue","3","26.904","25-50%"
"cavalry n raiding cavalry copper.tga","","64","64","1","BC3","MultiValue","3","26.904","25-50%"
"cavalry n raiding cavalry iron.tga","","64","64","1","BC3","MultiValue","3","26.904","25-50%"
"cavalry n raiding cavalry standard.tga","","64","64","1","BC3","MultiValue","3","26.904","25-50%"
"scenario g arkantos map.tga","","128","128","1","BC3","MultiValue","3","27.655","25-50%"
"hero n ragnorok male.tga","","64","64","1","BC3","MultiValue","3","27.832","25-50%"
"villager n male standard.tga","","64","64","1","BC3","MultiValue","3","27.832","25-50%"
"archer g peltast bronze.tga","","64","64","1","BC3","MultiValue","3","28.003","25-50%"
"mu x servant of oceanus map.tga","","128","128","1","BC3","MultiValue","3","28.058","25-50%"
"special e anubite iron.tga","","128","128","1","BC3","MultiValue","3","28.094","25-50%"
"mu x atlantean manowar map.tga","","128","128","1","BC3","MultiValue","3","28.186","25-50%"
"sfx e son of osiris head.tga","","32","32","1","BC3","MultiValue","3","28.223","25-50%"
"infantry g myrmidon iron.tga","","64","64","1","BC3","MultiValue","3","28.809","25-50%"
"special e anubite.tga","","128","128","1","BC3","MultiValue","3","28.827","25-50%"
"hero g jason shield.tga","","64","32","1","BC3","MultiValue","3","28.906","25-50%"
"archer n throwing axeman bronze.tga","","64","64","1","BC3","MultiValue","3","29.053","25-50%"
"hero g hercules.tga","","64","64","1","BC3","MultiValue","3","29.077","25-50%"
"forkboy map.tga","","128","128","1","BC3","MultiValue","3","29.346","25-50%"
"archer g toxotes copper.tga","","64","64","1","BC3","MultiValue","3","29.395","25-50%"
"cavalry g prodromos bronze.tga","","64","64","1","BC3","MultiValue","3","29.443","25-50%"
"cavalry g prodromos copper.tga","","64","64","1","BC3","MultiValue","3","29.443","25-50%"
"cavalry g prodromos iron.tga","","64","64","1","BC3","MultiValue","3","29.443","25-50%"
"cavalry e chariot archer iron.tga","","256","256","1","BC3","MultiValue","3","29.555","25-50%"
"scenario g skult map.tga","","64","64","1","BC3","MultiValue","3","29.663","25-50%"
"cavalry e camelry bronze.tga","","64","64","1","BC3","MultiValue","3","29.81","25-50%"
"cavalry e chariot archer bronze.tga","","256","256","1","BC3","MultiValue","3","29.842","25-50%"
"cine x hp arcusweaponsmap.tga","","128","128","1","BC3","MultiValue","3","3.125","0-10%"
"special g scylla map.tga","","128","128","1","BC3","MultiValue","3","3.308","0-10%"
"cinematic naval g trireme.tga","","256","256","1","BC3","MultiValue","3","3.36","0-10%"
"siege g helepolis iron.tga","","256","128","1","BC3","MultiValue","3","3.366","0-10%"
"siege g helepolis.tga","","256","128","1","BC3","MultiValue","3","3.366","0-10%"
"building n odin wonder01.tga","","256","256","1","BC3","MultiValue","3","3.384","0-10%"
"special g carcinos.tga","","128","128","1","BC3","MultiValue","3","3.424","0-10%"
"hero g polyphemus shield.tga","","64","32","1","BC3","MultiValue","3","3.467","0-10%"
"building n titan gate map.tga","","256","256","1","BC3","MultiValue","3","3.496","0-10%"
"special n giant.tga","","128","128","1","BC3","MultiValue","3","3.497","0-10%"
"temp santa body.tga","","128","128","1","BC3","MultiValue","3","3.497","0-10%"
"world n loki statue map.tga","","128","128","1","BC3","MultiValue","3","3.564","0-10%"
"world n thor statue map.tga","","128","128","1","BC3","MultiValue","3","3.564","0-10%"
"cavalry e camelry camel copper.tga","","128","128","1","BC3","MultiValue","3","3.571","0-10%"
"cavalry e camelry camel bronze.tga","","128","128","1","BC3","MultiValue","3","3.577","0-10%"
"cavalry e camelry camel iron.tga","","128","128","1","BC3","MultiValue","3","3.589","0-10%"
"special n giant map.tga","","64","64","1","BC3","MultiValue","3","3.638","0-10%"
"mu x dryad.tga","","128","128","1","BC3","MultiValue","3","3.748","0-10%"
"scenario e great box.tga","","256","256","1","BC3","MultiValue","3","3.893","0-10%"
"building x mirror tower.tga","","256","128","1","BC3","MultiValue","3","3.943","0-10%"
"cavalry x javelin horse bronze.tga","","128","128","1","BC3","MultiValue","3","3.949","0-10%"
"special g manticore.tga","","128","128","1","BC3","MultiValue","3","3.955","0-10%"
"sfx a walking woods.tga","","128","128","1","BC3","MultiValue","3","3.967","0-10%"
"cine a jarl map.tga","","256","256","1","BC3","MultiValue","3","3.97","0-10%"
"cavalry e camelry iron.tga","","64","64","1","BC3","MultiValue","3","30.005","25-50%"
"infantry e spearman standard.tga","","64","64","1","BC3","MultiValue","3","30.566","25-50%"
"infantry e spearman copper.tga","","64","64","1","BC3","MultiValue","3","31.079","25-50%"
"infantry e spearman bronze.tga","","64","64","1","BC3","MultiValue","3","31.128","25-50%"
"mu x oracle.tga","","64","64","1","BC3","MultiValue","3","31.445","25-50%"
"villager g atlantean male.tga","","64","64","1","BC3","MultiValue","3","31.616","25-50%"
"sfx e son of osiris.tga","","64","64","1","BC3","MultiValue","3","31.714","25-50%"
"archer e slinger standard.tga","","64","64","1","BC3","MultiValue","3","31.86","25-50%"
"archer n throwing axeman copper.tga","","64","64","1","BC3","MultiValue","3","32.202","25-50%"
"infantry g hypaspist copper.tga","","64","64","1","BC3","MultiValue","3","32.642","25-50%"
"infantry g hypaspist bronze.tga","","64","64","1","BC3","MultiValue","3","32.837","25-50%"
"infantry g hypaspist iron.tga","","64","64","1","BC3","MultiValue","3","32.837","25-50%"
"archer g peltast head bronze.tga","","32","32","1","BC3","MultiValue","3","34.082","25-50%"
"archer g peltast head copper.tga","","32","32","1","BC3","MultiValue","3","34.082","25-50%"
"archer g peltast head iron.tga","","32","32","1","BC3","MultiValue","3","34.082","25-50%"
"archer g peltast head standard.tga","","32","32","1","BC3","MultiValue","3","34.082","25-50%"
"cavalry e chariot archer copper.tga","","256","256","1","BC3","MultiValue","3","34.428","25-50%"
"archer g toxotes standard.tga","","64","64","1","BC3","MultiValue","3","34.961","25-50%"
"hero g jason standard.tga","","64","64","1","BC3","MultiValue","3","34.985","25-50%"
"cavalry e camelry standard.tga","","64","64","1","BC3","MultiValue","3","35.4","25-50%"
"cine g old man map.tga","","256","256","1","BC3","MultiValue","3","35.826","25-50%"
"special g hippocampus.tga","","128","128","1","BC3","MultiValue","3","36.346","25-50%"
"infantry n ulfsark bronze.tga","","64","64","1","BC3","MultiValue","3","36.475","25-50%"
"infantry n ulfsark copper.tga","","64","64","1","BC3","MultiValue","3","36.475","25-50%"
"infantry n ulfsark iron.tga","","64","64","1","BC3","MultiValue","3","36.475","25-50%"
"infantry n ulfsark standard.tga","","64","64","1","BC3","MultiValue","3","36.475","25-50%"
"archer c crossbowman bowstring.tga","","32","4","1","BC2","MultiValue","8","37.5","25-50%"
"cavalry e camelry camel standard.tga","","128","128","1","BC3","MultiValue","3","4.01","0-10%"
"special g golem map.tga","","256","256","1","BC3","MultiValue","22","4.024","0-10%"
"special n fenris.tga","","128","128","1","BC3","MultiValue","3","4.108","0-10%"
"cine a jarl horse map.tga","","256","256","1","BC3","MultiValue","3","4.124","0-10%"
"special g cyclops map.tga","","128","128","1","BC3","MultiValue","3","4.138","0-10%"
"cavalry e mercenary horse standard.tga","","128","128","1","BC3","MultiValue","3","4.175","0-10%"
"cavalry n jarl horse bronze.tga","","128","128","1","BC3","MultiValue","3","4.193","0-10%"
"building e age3.tga","","256","256","1","BC3","MultiValue","3","4.213","0-10%"
"building e settlement age3.tga","","256","256","1","BC3","MultiValue","3","4.213","0-10%"
"building e shared01 3 map.tga","","256","256","1","BC3","MultiValue","3","4.213","0-10%"
"cavalry g cataphract horse iron.tga","","128","128","1","BC3","MultiValue","3","4.279","0-10%"
"siege x chieroballista downgrade.tga","","128","128","1","BC3","MultiValue","3","4.297","0-10%"
"siege x chieroballista.tga","","128","128","1","BC3","MultiValue","3","4.297","0-10%"
"world g statue poseidon.tga","","128","128","1","BC3","MultiValue","3","4.333","0-10%"
"cavalry e war elephant copper.tga","","256","128","1","BC3","MultiValue","3","4.401","0-10%"
"cavalry x lancer horse bronze.tga","","128","128","1","BC3","MultiValue","3","4.401","0-10%"
"cavalry x lancer horse hero.tga","","128","128","1","BC3","MultiValue","3","4.401","0-10%"
"cavalry x lancer horse iron.tga","","128","128","1","BC3","MultiValue","3","4.401","0-10%"
"titan g cerebus map1.tga","","256","256","1","BC3","MultiValue","3","4.501","0-10%"
"world x gaia  statue map.tga","","128","128","1","BC3","MultiValue","3","4.535","0-10%"
"building g titan gate door map.tga","","128","128","1","BC3","MultiValue","3","4.584","0-10%"
"scenario u shade.tga","","64","64","1","BC3","MultiValue","3","4.614","0-10%"
"cavalry n jarl horse iron.tga","","128","128","1","BC3","MultiValue","3","4.633","0-10%"
"building n loki wonder02.tga","","256","256","1","BC3","MultiValue","3","4.692","0-10%"
"cine g hoplite shield.tga","","128","64","1","BC3","MultiValue","3","4.736","0-10%"
"cavalry n jarl horse copper.tga","","128","128","1","BC3","MultiValue","3","4.828","0-10%"
"lp mu x stymphalian bird map.tga","","128","128","1","BC3","MultiValue","3","4.871","0-10%"
"world a tents map.tga","","256","256","1","BC3","MultiValue","3","4.895","0-10%"
"world n odin statue map.tga","","128","128","1","BC3","MultiValue","3","4.901","0-10%"
"titan n troll map2.tga","","256","256","1","BC3","MultiValue","3","4.941","0-10%"
"archer g peltast copper.tga","","64","64","1","BC3","MultiValue","3","40.186","25-50%"
"infantry g hypaspist standard.tga","","64","64","1","BC3","MultiValue","3","41.65","25-50%"
"villager g male standard.tga","","64","64","1","BC3","MultiValue","3","42.725","25-50%"
"cavalry e camelry copper.tga","","64","64","1","BC3","MultiValue","3","43.872","25-50%"
"waypoint.tga","","64","64","1","BC3","MultiValue","3","44.409","25-50%"
"infantry e axeman standard.tga","","64","64","1","BC3","MultiValue","3","45.605","25-50%"
"villager e female.tga","","64","64","1","BC3","MultiValue","3","48.999","25-50%"
"villager n ox.tga","","64","64","1","BC3","MultiValue","3","5.029","0-10%"
"mu x stymphalian bird map.tga","","256","256","1","BC3","MultiValue","3","5.052","0-10%"
"building e obelisk.tga","","256","128","1","BC3","MultiValue","3","5.164","0-10%"
"cavalry x javelin horse copper.tga","","128","128","1","BC3","MultiValue","3","5.225","0-10%"
"cavalry x javelin horse standard.tga","","128","128","1","BC3","MultiValue","3","5.225","0-10%"
"special n frost giant upgrade.tga","","128","128","1","BC3","MultiValue","3","5.255","0-10%"
"special n frost giant.tga","","128","128","1","BC3","MultiValue","3","5.255","0-10%"
"special n king folstag upgrade.tga","","128","128","1","BC3","MultiValue","3","5.255","0-10%"
"statue x gaia map.tga","","128","128","1","BC3","MultiValue","3","5.255","0-10%"
"world g tent.tga","","128","128","1","BC3","MultiValue","3","5.273","0-10%"
"cavalry g scout horse.tga","","128","128","1","BC3","MultiValue","3","5.328","0-10%"
"mu x promethean map.tga","","64","64","1","BC3","MultiValue","3","5.371","0-10%"
"cavalry n jarl horse standard.tga","","128","128","1","BC3","MultiValue","3","5.438","0-10%"
"special e sphinx.tga","","128","128","1","BC3","MultiValue","3","5.499","0-10%"
"cavalry n jarl copper.tga","","64","64","1","BC3","MultiValue","3","5.518","0-10%"
"siege n ram iron.tga","","128","128","1","BC3","MultiValue","3","5.548","0-10%"
"siege n ram.tga","","128","128","1","BC3","MultiValue","3","5.548","0-10%"
"special n battle boar.tga","","128","128","1","BC3","MultiValue","3","5.548","0-10%"
"agamemnon map.tga","","256","256","1","BC3","MultiValue","3","5.562","0-10%"
"cavalry e war elephant iron.tga","","256","128","1","BC3","MultiValue","3","5.728","0-10%"
"cavalry e war elephant bronze.tga","","256","128","1","BC3","MultiValue","3","5.804","0-10%"
"naval e pirate ship.tga","","256","256","1","BC3","MultiValue","3","5.92","0-10%"
"scenario e guardian.tga","","128","128","1","BC3","MultiValue","3","5.963","0-10%"
"infantry g militia.tga","","64","64","1","BC3","MultiValue","3","52.148","50-75%"
"scenario e great box camel.tga","","256","256","1","BC3","MultiValue","3","52.751","50-75%"
"villager g female.tga","","64","64","1","BC3","MultiValue","3","52.832","50-75%"
"archer n throwing axeman standard.tga","","64","64","1","BC3","MultiValue","3","52.93","50-75%"
"archer g peltast standard.tga","","64","64","1","BC3","MultiValue","3","53.735","50-75%"
"building g titan gate map.tga","","256","256","1","BC3","MultiValue","3","57.895","50-75%"
"cine a jarl helmet map.tga","","128","128","1","BC3","MultiValue","3","6.03","0-10%"
"trade e caravan camel.tga","","128","128","1","BC3","MultiValue","3","6.042","0-10%"
"trade n caravan cargo.tga","","128","128","1","BC3","MultiValue","3","6.238","0-10%"
"cavalry e war elephant basket copper.tga","","64","64","1","BC3","MultiValue","3","6.299","0-10%"
"special e pharaoh.tga","","64","64","1","BC3","MultiValue","3","6.323","0-10%"
"sfx a serpent.tga","","64","64","1","BC3","MultiValue","3","6.372","0-10%"
"athenamap.tga","","256","256","1","BC3","MultiValue","3","6.381","0-10%"
"scenario theocrat.tga","","64","64","1","BC3","MultiValue","3","6.519","0-10%"
"special n troll.tga","","128","128","1","BC3","MultiValue","3","6.592","0-10%"
"cine x trident soldier shield.tga","","256","256","1","BC3","MultiValue","3","6.628","0-10%"
"cavalry x lancer horse copper.tga","","128","128","1","BC3","MultiValue","3","6.677","0-10%"
