"Filename","Category","Width","Height","BTI_AlphaBits","BTI_Format","TGA_AlphaType","TGA_AlphaValues","OpaquePixels","OpaqueCoveragePct","CoverageGroup","BTIFile"
"cine x trident soldier helmet.tga","","128","128","1","BC3","Binary","1","16384","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\cine x trident soldier helmet.bti"
"hero g achilles.tga","","64","64","1","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\hero g achilles.bti"
"hero g ajax.tga","","64","64","1","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\hero g ajax.bti"
"hero g atalanta.tga","","32","32","1","BC3","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\hero g atalanta.bti"
"hero g chiron.tga","","64","64","1","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\hero g chiron.bti"
"hero g heracles.tga","","64","64","1","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\hero g heracles.bti"
"hero g hippolyta.tga","","64","64","1","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\hero g hippolyta.bti"
"hero g theseus.tga","","64","64","1","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\hero g theseus.bti"
"hero n ragnorok female head.tga","","32","32","1","BC3","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\hero n ragnorok female head.bti"
"hero n ragnorok male head.tga","","32","32","1","BC3","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\hero n ragnorok male head.bti"
"infantry e mercenary head.tga","","32","32","1","BC3","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\infantry e mercenary head.bti"
"infantry x trident soldier head iron.tga","","64","16","1","BC3","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\infantry x trident soldier head iron.bti"
"scenario u chronos hand.tga","","256","256","1","BC3","Binary","1","65536","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\scenario u chronos hand.bti"
"sfx g plenty decal.tga","","256","256","1","BC3","Binary","1","65536","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\sfx g plenty decal.bti"
"sfx g plenty shadow.tga","","256","256","1","BC3","Binary","1","65536","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\sfx g plenty shadow.bti"
"siege g trojan horse.tga","","256","256","1","BC3","Binary","1","65536","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\siege g trojan horse.bti"
"special g agamemnon head.tga","","64","64","1","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\special g agamemnon head.bti"
"special g athena head.tga","","128","64","1","BC3","Binary","1","8192","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\special g athena head.bti"
"special g underworld shade.tga","","64","64","1","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\special g underworld shade.bti"
"temp santa head.tga","","64","64","1","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\temp santa head.bti"
"titan n troll hammer map.tga","","128","128","1","BC3","Binary","1","16384","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\titan n troll hammer map.bti"
"titan n troll map1.tga","","256","256","1","BC3","Binary","1","65536","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\titan n troll map1.bti"
"villager g atlantean male head.tga","","32","32","1","BC3","Binary","1","1024","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\villager g atlantean male head.bti"
"world a fountain.tga","","64","64","1","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\world a fountain.bti"
"world a jade map.tga","","256","256","1","BC3","Binary","1","65536","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\world a jade map.bti"
"world a relic monkey.tga","","128","64","1","BC3","Binary","1","8192","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic monkey.bti"
"world e brazier map.tga","","64","64","1","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\world e brazier map.bti"
"world g brazier map.tga","","64","64","1","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\world g brazier map.bti"
"world g statue base.tga","","64","32","1","BC3","Binary","1","2048","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\world g statue base.bti"
"world n brazier map.tga","","64","64","1","BC3","Binary","1","4096","100","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\world n brazier map.bti"
"special e phoenix egg.tga","","64","64","1","BC3","Binary","2","512","12.5","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\special e phoenix egg.bti"
"infantry e spearman iron.tga","","64","64","1","BC3","Binary","2","535","13.062","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\infantry e spearman iron.bti"
"special n einheriar upgrade.tga","","64","64","1","BC3","Binary","2","550","13.428","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\special n einheriar upgrade.bti"
"special n einheriar.tga","","64","64","1","BC3","Binary","2","550","13.428","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\special n einheriar.bti"
"special n raven.tga","","64","64","1","BC3","Binary","2","560","13.672","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\special n raven.bti"
"scenario theocrat staff.tga","","32","8","1","BC3","Binary","2","40","15.625","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\scenario theocrat staff.bti"
"world e statue ra.tga","","128","128","1","BC3","Binary","2","2606","15.906","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\world e statue ra.bti"
"special e priest head.tga","","32","16","1","BC3","Binary","2","84","16.406","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\special e priest head.bti"
"cine g ajax old map.tga","","256","256","1","BC3","Binary","2","11191","17.076","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\cine g ajax old map.bti"
"cavalry g hippikon standard.tga","","64","64","1","BC3","Binary","2","773","18.872","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon standard.bti"
"infantry x swordsman bronze.tga","","64","64","1","BC3","Binary","2","791","19.312","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\infantry x swordsman bronze.bti"
"infantry x swordsman copper.tga","","64","64","1","BC3","Binary","2","791","19.312","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\infantry x swordsman copper.bti"
"infantry x swordsman hero.tga","","64","64","1","BC3","Binary","2","791","19.312","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\infantry x swordsman hero.bti"
"infantry x swordsman iron.tga","","64","64","1","BC3","Binary","2","791","19.312","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\infantry x swordsman iron.bti"
"infantry x swordsman standard.tga","","64","64","1","BC3","Binary","2","791","19.312","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\infantry x swordsman standard.bti"
"building e isis wonder02.tga","","256","256","1","BC3","Binary","2","1337","2.04","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e isis wonder02.bti"
"building e isis wonder01.tga","","256","256","1","BC3","Binary","2","1344","2.051","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e isis wonder01.bti"
"building x roof age1.tga","","256","256","1","BC3","Binary","2","1364","2.081","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x roof age1.bti"
"building e ra wonder02.tga","","256","256","1","BC3","Binary","2","1374","2.097","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e ra wonder02.bti"
"sfx g plenty.tga","","256","256","1","BC3","Binary","2","1381","2.107","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\sfx g plenty.bti"
"building e set wonder02.tga","","256","256","1","BC3","Binary","2","1404","2.142","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e set wonder02.bti"
"special g centaur low.tga","","128","64","1","BC3","Binary","2","184","2.246","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g centaur low.bti"
"building e monument platforms.tga","","256","256","1","BC3","Binary","2","1475","2.251","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e monument platforms.bti"
"building x wall oreichalkos.tga","","256","256","1","BC3","Binary","2","1496","2.283","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x wall oreichalkos.bti"
"kronos wonder map2.tga","","256","256","1","BC3","Binary","2","1510","2.304","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\kronos wonder map2.bti"
"building g hades wonder.tga","","256","256","1","BC3","Binary","2","1536","2.344","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g hades wonder.bti"
"building g wallsage2.tga","","256","256","1","BC3","Binary","2","1596","2.435","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g wallsage2.bti"
"building g fortresswall.tga","","256","256","1","BC3","Binary","2","1615","2.464","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g fortresswall.bti"
"animal cow a map.tga","","128","128","1","BC3","Binary","2","440","2.686","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal cow a map.bti"
"animal cow b map.tga","","128","128","1","BC3","Binary","2","440","2.686","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal cow b map.bti"
"animal cow c map.tga","","128","128","1","BC3","Binary","2","440","2.686","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal cow c map.bti"
"building g zues wonder01.tga","","256","256","1","BC3","Binary","2","1813","2.766","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g zues wonder01.bti"
"building e titan gate map.tga","","256","256","1","BC3","Binary","2","1852","2.826","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e titan gate map.bti"
"statue x oranos map.tga","","128","128","1","BC3","Binary","2","469","2.863","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\statue x oranos map.bti"
"scenario g circe head.tga","","32","32","1","BC3","Binary","2","30","2.93","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario g circe head.bti"
"cavalry g hippikon copper.tga","","64","64","1","BC3","Binary","2","898","21.924","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon copper.bti"
"world a bouy.tga","","32","32","1","BC3","Binary","2","232","22.656","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\world a bouy.bti"
"hero g belerophon.tga","","64","64","1","BC3","Binary","2","945","23.071","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\hero g belerophon.bti"
"world a waypoint flag.tga","","128","64","1","BC3","Binary","2","2048","25","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\world a waypoint flag.bti"
"hero n hero low.tga","","64","64","1","BC3","Binary","2","1150","28.076","25-50%","D:\AI_upscaling\AoMEE\extracted\textures\hero n hero low.bti"
"cavalry e chariot horse map.tga","","128","128","1","BC3","Binary","2","4733","28.888","25-50%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e chariot horse map.bti"
"building e age2 burnt.tga","","256","256","1","BC3","Binary","2","2012","3.07","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age2 burnt.bti"
"building e age2.tga","","256","256","1","BC3","Binary","2","2012","3.07","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age2.bti"
"building e settlement age2.tga","","256","256","1","BC3","Binary","2","2012","3.07","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e settlement age2.bti"
"building e shared01 2 map.tga","","256","256","1","BC3","Binary","2","2012","3.07","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e shared01 2 map.bti"
"building g wallsage1.tga","","256","256","1","BC3","Binary","2","2061","3.145","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g wallsage1.bti"
"building g wallsage3.tga","","256","256","1","BC3","Binary","2","2199","3.355","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g wallsage3.bti"
"world g statue zeus.tga","","128","128","1","BC3","Binary","2","554","3.381","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world g statue zeus.bti"
"cavalry g hippikon head bronze.tga","","32","32","1","BC3","Binary","2","35","3.418","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon head bronze.bti"
"cavalry g hippikon head copper.tga","","32","32","1","BC3","Binary","2","35","3.418","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon head copper.bti"
"cavalry g hippikon head iron.tga","","32","32","1","BC3","Binary","2","35","3.418","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon head iron.bti"
"building g shared05 2 map.tga","","256","256","1","BC3","Binary","2","2268","3.461","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g shared05 2 map.bti"
"scenario t troy wall long dead.tga","","256","256","1","BC3","Binary","2","2304","3.516","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario t troy wall long dead.bti"
"scenario t troy wall long deadb.tga","","256","256","1","BC3","Binary","2","2304","3.516","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario t troy wall long deadb.bti"
"scenario t troy wall long.tga","","256","256","1","BC3","Binary","2","2304","3.516","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario t troy wall long.bti"
"building g fortressroof.tga","","256","256","1","BC3","Binary","2","2348","3.583","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building g fortressroof.bti"
"special e roc basket.tga","","128","128","1","BC3","Binary","2","615","3.754","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special e roc basket.bti"
"cavalry x javelin copper.tga","","64","64","1","BC3","Binary","2","1274","31.104","25-50%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin copper.bti"
"cavalry x javelin standard.tga","","64","64","1","BC3","Binary","2","1274","31.104","25-50%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry x javelin standard.bti"
"archer g peltast low copper.tga","","32","32","1","BC3","Binary","2","321","31.348","25-50%","D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast low copper.bti"
"cavalry e war elephant basket standard.tga","","64","64","1","BC3","Binary","2","169","4.126","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant basket standard.bti"
"siege n ballista iron.tga","","64","64","1","BC3","Binary","2","169","4.126","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege n ballista iron.bti"
"siege n ballista.tga","","64","64","1","BC3","Binary","2","169","4.126","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege n ballista.bti"
"sfx e citadel age4.tga","","256","256","1","BC3","Binary","2","2802","4.276","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\sfx e citadel age4.bti"
"sfx e citadel.tga","","256","256","1","BC3","Binary","2","2802","4.276","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\sfx e citadel.bti"
"cine g poseidon stone.tga","","256","256","1","BC3","Binary","2","2806","4.282","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cine g poseidon stone.bti"
"special e petesuchos.tga","","128","128","1","BC3","Binary","2","716","4.37","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special e petesuchos.bti"
"special g centaur upgrade.tga","","64","64","1","BC3","Binary","2","190","4.639","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g centaur upgrade.bti"
"special g centaur.tga","","64","64","1","BC3","Binary","2","190","4.639","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g centaur.bti"
"special g cyclops upgrade.tga","","128","128","1","BC3","Binary","2","784","4.785","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g cyclops upgrade.bti"
"special g cyclops.tga","","128","128","1","BC3","Binary","2","784","4.785","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g cyclops.bti"
"world g garrison flag.tga","","64","32","1","BC3","Binary","2","972","47.461","25-50%","D:\AI_upscaling\AoMEE\extracted\textures\world g garrison flag.bti"
"building e age4.tga","","256","256","1","BC3","Binary","2","3376","5.151","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age4.bti"
"building e settlement age4.tga","","256","256","1","BC3","Binary","2","3376","5.151","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e settlement age4.bti"
"world g shrine map.tga","","128","128","1","BC3","Binary","2","915","5.585","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world g shrine map.bti"
"siege g petrobolos iron.tga","","64","64","1","BC3","Binary","2","230","5.615","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege g petrobolos iron.bti"
"siege g petrobolos.tga","","64","64","1","BC3","Binary","2","230","5.615","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege g petrobolos.bti"
"trade g caravan cargo.tga","","64","64","1","BC3","Binary","2","242","5.908","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\trade g caravan cargo.bti"
"low infantry g normal head bronze.tga","","32","16","1","BC3","Binary","2","256","50","25-50%","D:\AI_upscaling\AoMEE\extracted\textures\low infantry g normal head bronze.bti"
"low infantry g normal head copper.tga","","32","16","1","BC3","Binary","2","256","50","25-50%","D:\AI_upscaling\AoMEE\extracted\textures\low infantry g normal head copper.bti"
"low infantry g normal head iron.tga","","32","16","1","BC3","Binary","2","256","50","25-50%","D:\AI_upscaling\AoMEE\extracted\textures\low infantry g normal head iron.bti"
"low infantry g normal head standard.tga","","32","16","1","BC3","Binary","2","256","50","25-50%","D:\AI_upscaling\AoMEE\extracted\textures\low infantry g normal head standard.bti"
"scenario n reginleif map.tga","","64","64","1","BC3","Binary","2","248","6.055","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario n reginleif map.bti"
"world e tent.tga","","128","128","1","BC3","Binary","2","1046","6.384","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world e tent.bti"
"infantry e chariot archer iron map.tga","","64","64","1","BC3","Binary","2","264","6.445","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\infantry e chariot archer iron map.bti"
"scenario g circe.tga","","64","64","1","BC3","Binary","2","271","6.616","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\scenario g circe.bti"
"siege e catapult iron.tga","","64","64","1","BC3","Binary","2","271","6.616","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege e catapult iron.bti"
"siege e catapult.tga","","64","64","1","BC3","Binary","2","271","6.616","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege e catapult.bti"
"siege g petrobolos tire low.tga","","16","16","1","BC3","Binary","2","181","70.703","50-75%","D:\AI_upscaling\AoMEE\extracted\textures\siege g petrobolos tire low.bti"
"command time shift icons 32.tga","","32","32","1","DeflatedRGBA8","Binary","2","814","79.492","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\icons\command time shift icons 32.bti"
"cavalry g hippikon horse standard.tga","","128","128","1","BC3","Binary","2","1396","8.521","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon horse standard.bti"
"cavalry g prodromos horse standard.tga","","128","128","1","BC3","Binary","2","1396","8.521","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g prodromos horse standard.bti"
"special g pegasus.tga","","128","128","1","BC3","Binary","2","1396","8.521","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g pegasus.bti"
"projectile a ballista arrow iron.tga","","64","16","1","BC3","Binary","2","88","8.594","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\projectile a ballista arrow iron.bti"
"projectile a ballista arrow.tga","","64","16","1","BC3","Binary","2","88","8.594","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\projectile a ballista arrow.bti"
"siege n ballista bolt iron.tga","","64","16","1","BC3","Binary","2","88","8.594","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege n ballista bolt iron.bti"
"siege n ballista bolt.tga","","64","16","1","BC3","Binary","2","88","8.594","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege n ballista bolt.bti"
"infantry g myrmidon head iron.tga","","64","32","1","BC3","Binary","2","179","8.74","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\infantry g myrmidon head iron.bti"
"archer g peltast cape bronze.tga","","64","64","1","BC3","Binary","2","3314","80.908","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast cape bronze.bti"
"archer g peltast cape copper.tga","","64","64","1","BC3","Binary","2","3314","80.908","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast cape copper.bti"
"archer g peltast cape iron.tga","","64","64","1","BC3","Binary","2","3314","80.908","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast cape iron.bti"
"archer g peltast cape standard.tga","","64","64","1","BC3","Binary","2","3314","80.908","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\archer g peltast cape standard.bti"
"world a relic standard.tga","","64","64","1","BC3","Binary","2","3392","82.812","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\world a relic standard.bti"
"trade e caravan basket.tga","","128","128","1","BC3","Binary","2","1477","9.015","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\trade e caravan basket.bti"
"hero g theseus shield.tga","","64","32","1","BC3","Binary","2","204","9.961","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\hero g theseus shield.bti"
"infantry g hoplite head iron.tga","","32","32","1","BC3","Binary","2","102","9.961","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\infantry g hoplite head iron.bti"
"infantry g hypaspist map.tga","","64","64","1","BC3","Binary","2","3853","94.067","75-100%","D:\AI_upscaling\AoMEE\extracted\textures\infantry g hypaspist map.bti"
"building n wonder.tga","","256","256","1","BC3","MultiValue","3","351","0.536","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n wonder.bti"
"building n temple.tga","","256","256","1","BC3","MultiValue","3","574","0.876","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n temple.bti"
"titan x kronos.tga","","256","256","1","BC3","MultiValue","3","583","0.89","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\titan x kronos.bti"
"building x temple age0.tga","","256","256","1","BC3","MultiValue","3","620","0.946","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building x temple age0.bti"
"world n tent.tga","","128","128","1","BC3","MultiValue","3","165","1.007","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world n tent.bti"
"building n shared02 2 map.tga","","256","256","1","BC3","MultiValue","3","691","1.054","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n shared02 2 map.bti"
"special e mummy map.tga","","64","64","1","BC3","MultiValue","3","45","1.099","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special e mummy map.bti"
"special g chimera.tga","","128","128","1","BC3","MultiValue","3","180","1.099","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g chimera.bti"
"special g sea turtle.tga","","256","256","1","BC3","MultiValue","3","721","1.1","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g sea turtle.bti"
"gaia wonder map2.tga","","256","256","1","BC3","MultiValue","3","771","1.176","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\gaia wonder map2.bti"
"special g hydra map.tga","","128","128","1","BC3","MultiValue","3","197","1.202","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g hydra map.bti"
"lp cine x krios.tga","","128","128","1","BC3","MultiValue","3","198","1.208","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\lp cine x krios.bti"
"special g nemean lion.tga","","128","128","1","BC3","MultiValue","3","223","1.361","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\special g nemean lion.bti"
"cavalry n raiding cavalry horse bronze.tga","","128","128","1","BC3","MultiValue","3","232","1.416","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry horse bronze.bti"
"cavalry n raiding cavalry horse copper.tga","","128","128","1","BC3","MultiValue","3","232","1.416","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry horse copper.bti"
"cavalry n raiding cavalry horse iron.tga","","128","128","1","BC3","MultiValue","3","232","1.416","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry horse iron.bti"
"cavalry n raiding cavalry horse standard.tga","","128","128","1","BC3","MultiValue","3","232","1.416","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry n raiding cavalry horse standard.bti"
"building n wallage4.tga","","256","256","1","BC3","MultiValue","3","936","1.428","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n wallage4.bti"
"siege g petrobolos low.tga","","64","64","1","BC3","MultiValue","3","62","1.514","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\siege g petrobolos low.bti"
"cine x krios.tga","","256","256","1","BC3","MultiValue","3","1012","1.544","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\cine x krios.bti"
"building n tower.tga","","256","128","1","BC3","MultiValue","3","523","1.596","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n tower.bti"
"world e statue set.tga","","128","128","1","BC3","MultiValue","3","262","1.599","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world e statue set.bti"
"titan g cerebus map2.tga","","256","256","1","BC3","MultiValue","3","1051","1.604","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\titan g cerebus map2.bti"
"building n hillfort.tga","","256","256","1","BC3","MultiValue","3","1103","1.683","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n hillfort.bti"
"animal pig map.tga","","64","64","1","BC3","MultiValue","3","69","1.685","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\animal pig map.bti"
"building n shrine.tga","","128","128","1","BC3","MultiValue","3","292","1.782","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n shrine.bti"
"building n settlementage4.tga","","256","256","1","BC3","MultiValue","3","1224","1.868","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building n settlementage4.bti"
"building e age2 wall.tga","","256","256","1","BC3","MultiValue","3","1281","1.955","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\building e age2 wall.bti"
"world n statue odin.tga","","128","128","1","BC3","MultiValue","3","323","1.971","0-10%","D:\AI_upscaling\AoMEE\extracted\textures\world n statue odin.bti"
"cine x hp automatonmap.tga","","256","256","1","BC3","MultiValue","3","6558","10.007","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\cine x hp automatonmap.bti"
"cine n reginleif weapons map.tga","","256","256","1","BC3","MultiValue","3","6585","10.048","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\cine n reginleif weapons map.bti"
"cavalry e war elephant rider standard.tga","","64","64","1","BC3","MultiValue","3","412","10.059","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry e war elephant rider standard.bti"
"attachments x shield champion.tga","","128","64","1","BC3","MultiValue","3","841","10.266","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\attachments x shield champion.bti"
"attachments x shield hero.tga","","128","64","1","BC3","MultiValue","3","841","10.266","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\attachments x shield hero.bti"
"building c titan gate door map.tga","","128","128","1","BC3","MultiValue","135","1682","10.266","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\building c titan gate door map.bti"
"special g shade.tga","","64","64","1","BC3","MultiValue","3","421","10.278","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\special g shade.bti"
"special n jarl cape map.tga","","32","32","1","BC3","MultiValue","3","108","10.547","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\special n jarl cape map.bti"
"trash weapon.tga","","128","64","1","BC3","MultiValue","3","865","10.559","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\trash weapon.bti"
"cavalry g hippikon horse bronze.tga","","128","128","1","BC3","MultiValue","3","1734","10.583","10-25%","D:\AI_upscaling\AoMEE\extracted\textures\cavalry g hippikon horse bronze.bti"
